股票代號,股票名稱,權重(%),持有股數
2330,台積電,9.23,11014000
2383,台光電,9.21,4757000
2454,聯發科技,7.54,5088000
3017,奇鋐科技,6.97,5949000
3037,欣興,6.77,20300000
6669,緯穎科技服務,5.83,2176000
2345,智邦科技,4.89,6464000
2327,國巨*,4.87,24987000
3653,健策,4.84,2397000
2308,台達電,4.64,7240000
6223,旺矽科技,4.6,2476000
2303,聯電,4.06,89118000
8046,南電,3.99,9474000
3711,日月光投資控股,3.91,18679000
3665,貿聯-KY,3.65,4591848
6274,台燿,2.69,5398000
6805,富世達,1.36,1731000
2449,京元電子,1.23,12818450
5274,信驊科技,1.22,207900
8210,勤誠興業,0.83,2427000
3443,創意,0.67,325000
2368,金像電,0.61,1457000
4979,華星光,0.58,2838000
8996,高力熱處理工業,0.52,1300000
6510,精測,0.51,477000
3264,欣銓科技,0.48,5916000
4958,臻鼎-KY,0.4,2157000
6278,台表科,0.22,3248000
6271,同欣電,0.18,2222000
3376,新日興,0.13,1740000
6515,穎崴科技,0.13,54000
6191,精成科,0.12,3988000
2313,華通,0.04,501000
2002,中鋼,0.03,5163000
8358,金居,0.0,1000
3661,世芯-KY,0.0,1000
2439,美律,0.0,1000
1590,亞德客-KY,0.0,1000
3008,大立光,0.0,1000
2382,廣達電腦,0.0,1000
6187,萬潤,0.0,8000
2408,南亞科技,0.0,1000
2637,慧洋-KY,0.0,1000
2360,致茂電子,0.0,1000
6488,環球晶,0.0,1000
4966,譜瑞-KY,0.0,1000
8150,南茂科技,0.0,1000
2317,鴻海精密工業,0.0,1000
5347,世界先進,0.0,1000
2481,強茂,0.0,5000
