股票代號,股票名稱,持有股數_昨日,持有股數_今日,股數變化,權重(%)_昨日,權重(%)_今日,權重變化(%),變化
3008,大立光,125000,260000,135000,1.1715,2.2897,1.1182,增加
8021,尖點,501000,1501000,1000000,0.6425,1.7164,1.0739,增加
3264,欣銓科技,0,72000,72000,0.0,0.0358,0.0358,新增
3017,奇鋐科技,1009000,1009000,0,5.3015,5.316,0.0145,權重增加
3665,貿聯-KY,955000,955000,0,4.6417,4.8327,0.191,權重增加
6223,旺矽科技,326000,326000,0,4.4674,4.6313,0.1639,權重增加
2059,川湖科技,293000,293000,0,4.2195,4.4353,0.2158,權重增加
3037,欣興,2097000,2097000,0,4.0297,4.1436,0.1139,權重增加
6515,穎崴科技,145000,145000,0,2.8451,3.0462,0.2011,權重增加
3443,創意,311000,311000,0,2.8727,2.9841,0.1114,權重增加
6187,萬潤,1220000,1220000,0,2.8276,2.8998,0.0722,權重增加
6584,南俊國際,2204000,2204000,0,2.7673,2.8245,0.0572,權重增加
8299,群聯電子,445000,445000,0,2.2029,2.2519,0.049,權重增加
3105,穩懋,1949000,1949000,0,2.1116,2.1561,0.0445,權重增加
2455,全新,2753000,2753000,0,1.9823,2.1229,0.1406,權重增加
3711,日月光投資控股,1629000,1629000,0,1.994,2.1054,0.1114,權重增加
7751,竑騰,375000,375000,0,1.1138,1.1295,0.0157,權重增加
2360,致茂電子,200000,200000,0,0.9855,1.0055,0.02,權重增加
6139,亞翔,250000,250000,0,0.4117,0.4408,0.0291,權重增加
6805,富世達,109000,109000,0,0.4292,0.4357,0.0065,權重增加
2337,旺宏,1343000,1343000,0,0.423,0.431,0.008,權重增加
5289,宜鼎國際,98000,98000,0,0.377,0.3875,0.0105,權重增加
3260,威剛科技,358000,358000,0,0.3177,0.318,0.0003,權重增加
2330,台積電,1706000,1706000,0,8.6374,8.6331,-0.0043,權重減少
2383,台光電,563000,563000,0,6.4546,5.9571,-0.4975,權重減少
2345,智邦科技,977000,977000,0,5.0014,4.9976,-0.0038,權重減少
8996,高力熱處理工業,1630000,1630000,0,4.1813,4.0885,-0.0928,權重減少
2454,聯發科技,406000,406000,0,3.7319,3.7177,-0.0142,權重減少
2327,國巨*,1566000,1566000,0,2.967,2.9331,-0.0339,權重減少
2368,金像電,945000,945000,0,2.86,2.7326,-0.1274,權重減少
6669,緯穎科技服務,228000,228000,0,2.5139,2.4224,-0.0915,權重減少
3661,世芯-KY,262000,262000,0,2.3935,2.3561,-0.0374,權重減少
3653,健策,214000,214000,0,1.7431,1.7298,-0.0133,權重減少
2308,台達電,344000,344000,0,1.6719,1.6692,-0.0027,權重減少
7769,鴻勁精密,91000,91000,0,1.4446,1.4373,-0.0073,權重減少
8046,南電,718000,718000,0,1.3038,1.2882,-0.0156,權重減少
3583,辛耘,566000,566000,0,1.0074,0.9956,-0.0118,權重減少
3189,景碩科技,440013,440013,0,0.6128,0.5879,-0.0249,權重減少
3363,上詮,300000,300000,0,0.4914,0.4843,-0.0071,權重減少
7734,印能科技,56000,56000,0,0.3881,0.341,-0.0471,權重減少
3491,昇達科,1000,1000,0,0.0037,0.0037,0.0,無變化
