股票代號,股票名稱,權重(%),持有股數
2330,台積電,8.615,1406000
2383,台光電,7.0682,563000
2059,川湖科技,6.3217,293000
2345,智邦科技,6.3077,1080000
3017,奇鋐科技,6.2702,1002000
3665,貿聯-KY,5.3536,955000
6223,旺矽科技,4.862,326000
3037,欣興,4.6365,2097000
3008,大立光,4.4789,420000
8996,高力熱處理工業,4.2287,1630000
2454,聯發科技,3.8956,406000
6187,萬潤,3.2923,1220000
6584,南俊國際,3.019,2231000
3711,日月光投資控股,2.5824,1629000
8021,尖點,2.5464,2501000
2455,全新,2.3436,2753000
2303,聯電,2.2997,7000000
3443,創意,2.2281,211000
2327,國巨*,2.0321,1247000
3661,世芯-KY,1.9396,215000
8299,群聯電子,1.7368,366000
3231,緯創資通,1.6134,3496000
3026,禾伸堂,1.3865,909000
6669,緯穎科技服務,1.1534,77000
6488,環球晶,1.094,394000
7751,竑騰,1.0144,310000
3189,景碩科技,0.8145,440013
6515,穎崴科技,0.7003,42000
7734,印能科技,0.5008,56000
6139,亞翔,0.4967,250000
3363,上詮,0.4677,300000
2337,旺宏,0.4394,1343000
6805,富世達,0.4135,109000
3260,威剛科技,0.3752,358000
5289,宜鼎國際,0.3398,98000
3583,辛耘,0.287,147000
3264,欣銓科技,0.0386,72000
3491,昇達科,0.003,1000
