股票代號,股票名稱_今日,投資比例(%)_今日,持有股數_今日,股票名稱_昨日,投資比例(%)_昨日,持有股數_昨日,股數變化,變化
2345,智邦,3.67,804000.0,智邦,3.72,816000.0,-12000.0,減碼
2360,致茂,3.74,823000.0,致茂,3.91,835000.0,-12000.0,減碼
2454,聯發科,7.33,862000.0,聯發科,7.21,873000.0,-11000.0,減碼
3105,穩懋,3.89,3983000.0,穩懋,3.88,4039000.0,-56000.0,減碼
3264,0,0.0,0.0,欣銓,3.71,9176000.0,-9176000.0,減碼
3491,昇達科,3.76,967000.0,昇達科,3.85,980000.0,-13000.0,減碼
5536,聖暉*,7.04,3754000.0,聖暉*,6.94,3804000.0,-50000.0,減碼
6139,亞翔,3.97,2774000.0,亞翔,3.97,2813000.0,-39000.0,減碼
6147,頎邦,3.13,5916000.0,0,0.0,0.0,5916000.0,加碼
6223,旺矽,3.18,307000.0,旺矽,3.22,312000.0,-5000.0,減碼
