股票代號,股票名稱,持有股數_昨日,持有股數_今日,股數變化,權重(%)_昨日,權重(%)_今日,權重變化(%),變化
2345,智邦科技,1080000,1080000,0,6.2767,6.3128,0.0361,權重增加
3017,奇鋐科技,1002000,1002000,0,5.7724,6.1466,0.3742,權重增加
3665,貿聯-KY,955000,955000,0,5.1373,5.4861,0.3488,權重增加
6223,旺矽科技,326000,326000,0,4.975,5.1224,0.1474,權重增加
3008,大立光,420000,420000,0,4.273,4.3715,0.0985,權重增加
2455,全新,2753000,2753000,0,2.2722,2.3878,0.1156,權重增加
3026,禾伸堂,909000,909000,0,1.5328,1.5928,0.06,權重增加
6515,穎崴科技,42000,42000,0,0.6943,0.6979,0.0036,權重增加
6139,亞翔,250000,250000,0,0.5366,0.5392,0.0026,權重增加
7734,印能科技,56000,56000,0,0.4458,0.4631,0.0173,權重增加
3363,上詮,300000,300000,0,0.4318,0.4442,0.0124,權重增加
6805,富世達,109000,109000,0,0.3867,0.3987,0.012,權重增加
2330,台積電,1406000,1406000,0,8.5827,8.5012,-0.0815,權重減少
2383,台光電,563000,563000,0,7.3388,7.2116,-0.1272,權重減少
2059,川湖科技,293000,293000,0,6.055,6.0403,-0.0147,權重減少
3037,欣興,2097000,2097000,0,4.8376,4.7237,-0.1139,權重減少
8996,高力熱處理工業,1630000,1630000,0,4.4775,4.4053,-0.0722,權重減少
2454,聯發科技,406000,406000,0,3.9757,3.9552,-0.0205,權重減少
2327,國巨*,2066000,2066000,0,3.6941,3.6151,-0.079,權重減少
6187,萬潤,1220000,1220000,0,3.2737,3.1438,-0.1299,權重減少
6584,南俊國際,2231000,2231000,0,3.1323,3.1241,-0.0082,權重減少
3711,日月光投資控股,1629000,1629000,0,2.718,2.6579,-0.0601,權重減少
2303,聯電,7000000,7000000,0,2.4748,2.4374,-0.0374,權重減少
3443,創意,211000,211000,0,2.3452,2.3234,-0.0218,權重減少
8299,群聯電子,445000,445000,0,2.1674,2.148,-0.0194,權重減少
3661,世芯-KY,215000,215000,0,1.9631,1.8972,-0.0659,權重減少
8021,尖點,1501000,1501000,0,1.5977,1.5339,-0.0638,權重減少
6488,環球晶,394000,394000,0,1.2426,1.1094,-0.1332,權重減少
7751,竑騰,318000,318000,0,1.0191,0.9473,-0.0718,權重減少
3189,景碩科技,440013,440013,0,0.8908,0.8683,-0.0225,權重減少
2337,旺宏,1343000,1343000,0,0.4611,0.4372,-0.0239,權重減少
3260,威剛科技,358000,358000,0,0.3455,0.3406,-0.0049,權重減少
5289,宜鼎國際,98000,98000,0,0.3389,0.3375,-0.0014,權重減少
3583,辛耘,147000,147000,0,0.2867,0.2805,-0.0062,權重減少
3264,欣銓科技,72000,72000,0,0.0397,0.0394,-0.0003,權重減少
3491,昇達科,1000,1000,0,0.0033,0.0032,-0.0001,權重減少
