股票代號,股票名稱,權重(%),持有股數
2059,川湖科技,8.062,260000
2330,台積電,7.6096,1406000
3017,奇鋐科技,7.1178,1002000
2383,台光電,6.6587,465000
3037,欣興,6.3067,2497000
3665,貿聯-KY,5.5898,1161000
2345,智邦科技,5.5773,1080000
3008,大立光,4.802,420000
8996,高力熱處理工業,4.4661,1630000
2454,聯發科技,3.708,406000
6223,旺矽科技,3.4399,263000
3231,緯創資通,3.2311,7662000
6584,南俊國際,2.9985,2231000
2308,台達電,2.6865,632000
2455,全新,2.5888,2753000
8021,尖點,2.5886,2682000
1303,南亞,2.4619,5445000
1815,富喬工業,2.367,10877000
3711,日月光投資控股,2.2592,1629000
3443,創意,2.1107,160000
3661,世芯-KY,1.9684,215000
3189,景碩科技,1.7143,840013
6669,緯穎科技服務,1.1495,77000
4958,臻鼎-KY,1.1343,1000000
8046,南電,0.8761,300000
6515,穎崴科技,0.626,42000
6805,富世達,0.4731,109000
6139,亞翔,0.4549,250000
2337,旺宏,0.3922,1343000
7734,印能科技,0.3876,56000
5289,宜鼎國際,0.3381,98000
3260,威剛科技,0.3229,358000
3583,辛耘,0.2416,147000
5347,世界先進,0.2297,629000
7751,竑騰,0.0834,25000
3264,欣銓科技,0.0355,72000
