股票代號,股票名稱,權重(%),持有股數
2330,台積電,9.71,10740000
2383,台光電,8.14,4653000
2454,聯發科技,6.75,5131000
2327,國巨*,5.61,25098000
3037,欣興,5.14,16971000
2345,智邦科技,5.13,6334000
6669,緯穎科技服務,5.1,2417000
6223,旺矽科技,5.01,2443000
3017,奇鋐科技,4.82,5423000
3665,貿聯-KY,4.25,4833848
2303,聯電,3.9,86550000
8046,南電,3.69,9519000
3711,日月光投資控股,3.59,16327000
2308,台達電,3.49,5567000
3653,健策,3.03,2267000
2368,金像電,2.4,7478000
5274,信驊科技,2.36,448900
6274,台燿,2.31,5160000
6805,富世達,1.03,1931000
8210,勤誠興業,0.92,2267000
2449,京元電子,0.7,7443450
6187,萬潤,0.51,1334000
6510,精測,0.34,349000
4979,華星光,0.32,1874000
1590,亞德客-KY,0.29,528000
4958,臻鼎-KY,0.29,1682000
6147,頎邦,0.26,4706000
6278,台表科,0.25,4334000
6515,穎崴科技,0.22,93000
6271,同欣電,0.19,2966000
2408,南亞科技,0.15,940000
5439,高技,0.13,1586000
6191,精成科,0.13,3988000
3376,新日興,0.12,1741000
3264,欣銓科技,0.11,1508000
2002,中鋼,0.04,5163000
4966,譜瑞-KY,0.03,140000
8996,高力熱處理工業,0.0,1000
8358,金居,0.0,1000
3661,世芯-KY,0.0,1000
3443,創意,0.0,1000
2439,美律,0.0,1000
3008,大立光,0.0,1000
2382,廣達電腦,0.0,1000
3533,嘉澤端子工業,0.0,1000
6488,環球晶,0.0,1000
2313,華通,0.0,1000
8150,南茂科技,0.0,1000
2317,鴻海精密工業,0.0,1000
5347,世界先進,0.0,1000
2481,強茂,0.0,5000
