股票代號,股票名稱,權重(%),持有股數
3017,奇鋐科技,8.3692,1001000
2330,台積電,6.607,1116000
2059,川湖科技,6.2416,205000
2383,台光電,6.0396,465000
3037,欣興,5.9616,2482000
3665,貿聯-KY,5.4146,1161000
8996,高力熱處理工業,5.1204,1630000
2345,智邦科技,5.0997,1074000
3008,大立光,4.7578,293000
6223,旺矽科技,3.6395,268000
1815,富喬工業,3.4773,11420868
3231,緯創資通,3.2388,7245000
1303,南亞,3.2104,5445000
6584,南俊國際,2.9866,2231000
8021,尖點,2.8386,2682000
2455,全新,2.7639,2150000
8046,南電,2.5028,968000
3443,創意,2.4669,164000
6669,緯穎科技服務,2.4347,429675
3661,世芯-KY,2.1067,215000
3189,景碩科技,1.6866,844013
2454,聯發科技,1.6538,145000
4958,臻鼎-KY,1.1949,1000000
6515,穎崴科技,0.8867,51000
3026,禾伸堂,0.5064,261000
5274,信驊科技,0.497,11000
2357,華碩,0.4684,196000
6213,聯茂,0.4677,373000
2301,光寶科技,0.4634,659000
3653,健策,0.4617,33000
6139,亞翔,0.4548,250000
2376,技嘉,0.4314,508000
3081,聯亞,0.4308,63000
8150,南茂科技,0.4298,1957000
6187,萬潤,0.4144,134000
2360,致茂電子,0.4003,76000
2404,漢唐,0.397,155000
3711,日月光投資控股,0.3926,250000
6274,台燿,0.3809,113000
5289,宜鼎國際,0.3115,99952
5347,世界先進,0.2454,629000
