股票代號,股票名稱,權重(%),持有股數
2330,台積電,8.3836,1706000
2383,台光電,5.6029,563000
3037,欣興,5.5959,2797000
2345,智邦科技,5.0528,977000
6669,緯穎科技服務,4.43,386000
6223,旺矽科技,4.0772,326000
8996,高力熱處理工業,3.7615,1630000
2454,聯發科技,3.7058,406000
3017,奇鋐科技,3.5401,634000
2059,川湖科技,3.4393,312000
6584,南俊國際,3.0426,2204000
3665,貿聯-KY,2.895,652000
3443,創意,2.8195,311000
2368,金像電,2.6286,945000
6515,穎崴科技,2.5843,145000
8299,群聯電子,2.525,475000
3661,世芯-KY,2.5038,280000
2327,國巨*,2.3974,1566000
2455,全新,2.2803,2753000
3711,日月光投資控股,1.9903,1629000
3105,穩懋,1.9577,1949000
3081,聯亞,1.9456,366000
2308,台達電,1.7188,344000
6274,台燿,1.6449,471000
7769,鴻勁精密,1.4759,97000
8046,南電,1.2989,718000
7751,竑騰,1.2208,375000
5274,信驊科技,1.0913,29000
2360,致茂電子,1.0796,200000
3583,辛耘,1.0169,566000
6187,萬潤,0.9993,435000
6510,精測,0.9894,137000
3008,大立光,0.9851,125000
3653,健策,0.7839,102000
4991,環宇-KY,0.777,553000
3189,景碩科技,0.6701,470013
5289,宜鼎國際,0.6005,153000
6531,愛普科技,0.576,265000
2337,旺宏,0.4624,1434000
8021,尖點,0.4552,501000
6805,富世達,0.4458,109000
6139,亞翔,0.4249,250000
3260,威剛科技,0.3604,382000
7734,印能科技,0.3588,56000
6442,光紅建聖,0.327,74000
3533,嘉澤端子工業,0.0197,4000
3491,昇達科,0.004,1000
