股票代號,股票名稱,持有股數_昨日,持有股數_今日,股數變化,權重(%)_昨日,權重(%)_今日,權重變化(%),變化
2059,川湖科技,32000,39000,7000,3.43,4.24,0.81,增加
2383,台光電,89000,93000,4000,3.73,3.88,0.15,增加
2308,台達電,175000,185000,10000,2.61,3.02,0.41,增加
6669,緯穎科技服務,134225,161225,27000,2.46,2.93,0.47,增加
7769,鴻勁精密,50000,55000,5000,2.81,2.91,0.1,增加
3081,聯亞,84700,92700,8000,2.09,2.25,0.16,增加
2368,金像電,219000,234000,15000,1.92,2.09,0.17,增加
6223,旺矽科技,40000,45000,5000,1.99,2.07,0.08,增加
6515,穎崴科技,33000,38000,5000,1.82,1.88,0.06,增加
3017,奇鋐科技,56000,63000,7000,1.65,1.83,0.18,增加
3008,大立光,24000,28000,4000,1.32,1.54,0.22,增加
6274,台燿,75000,93000,18000,0.88,1.15,0.27,增加
3293,鈊象電子,144000,183000,39000,0.9,1.14,0.24,增加
2451,創見,393000,454000,61000,0.95,1.11,0.16,增加
6138,茂達電子,284000,351000,67000,0.67,0.83,0.16,增加
6121,新 普,146000,243000,97000,0.47,0.79,0.32,增加
2618,長榮航,956000,2099000,1143000,0.34,0.77,0.43,增加
4904,遠傳電信,650000,851000,201000,0.6,0.77,0.17,增加
3227,原相,361000,471000,110000,0.58,0.74,0.16,增加
5904,寶雅國際,1077000,1216000,139000,0.67,0.74,0.07,增加
3090,日電貿,363000,497000,134000,0.51,0.7,0.19,增加
5439,高技,160000,279000,119000,0.34,0.61,0.27,增加
4551,智伸科,313000,405000,92000,0.43,0.55,0.12,增加
2330,台積電,279000,279000,0,5.89,5.9,0.01,權重增加
2454,聯發科技,96000,96000,0,3.88,4.27,0.39,權重增加
3653,健策,77000,77000,0,3.65,3.86,0.21,權重增加
3037,欣興,262000,262000,0,2.21,2.52,0.31,權重增加
2345,智邦科技,101000,101000,0,1.61,1.66,0.05,權重增加
5274,信驊科技,9000,9000,0,1.49,1.62,0.13,權重增加
2360,致茂電子,70000,70000,0,1.38,1.47,0.09,權重增加
3665,貿聯-KY,65000,65000,0,1.23,1.25,0.02,權重增加
6805,富世達,51000,51000,0,1.0,1.1,0.1,權重增加
2890,永豐金融,2734780,2734780,0,1.06,1.07,0.01,權重增加
2382,廣達電腦,702500,702500,0,2.07,2.06,-0.01,權重減少
2408,南亞科技,479000,479000,0,2.16,2.04,-0.12,權重減少
2357,華碩,238000,238000,0,1.96,1.95,-0.01,權重減少
3026,禾伸堂,246000,246000,0,1.68,1.65,-0.03,權重減少
2884,玉山金融控股,3184000,3184000,0,1.27,1.26,-0.01,權重減少
2880,華南金控,2936388,2936388,0,1.2,1.17,-0.03,權重減少
2886,兆豐金,2700000,2700000,0,1.18,1.17,-0.01,權重減少
5434,崇越,160000,160000,0,0.74,0.73,-0.01,權重減少
9958,世紀鋼鐵結構,685000,685000,0,0.55,0.54,-0.01,權重減少
3702,大聯大,5267000,4085000,-1182000,5.17,3.97,-1.2,減少
3706,神達投資控股,5339400,4235400,-1104000,3.69,2.89,-0.8,減少
2441,超豐,2890000,2248000,-642000,3.06,2.45,-0.61,減少
9941,裕融企業,2727480,2618480,-109000,1.87,1.79,-0.08,減少
5534,長虹建設,2382000,2263000,-119000,1.56,1.45,-0.11,減少
2887,台新新光金,4752360,3664360,-1088000,1.81,1.35,-0.46,減少
2885,元大金,2615040,1958040,-657000,1.57,1.19,-0.38,減少
4746,台耀化學,2276000,2185000,-91000,0.93,0.9,-0.03,減少
2395,研華,251000,125000,-126000,1.49,0.75,-0.74,減少
2393,億光電子工業,1439000,1223000,-216000,0.8,0.67,-0.13,減少
2727,王品餐飲,321000,289000,-32000,0.63,0.57,-0.06,減少
2892,第一金融控股,3651000,3651000,0,1.25,1.25,0.0,無變化
