股票代號,股票名稱,持有股數_昨日,持有股數_今日,股數變化,權重(%)_昨日,權重(%)_今日,權重變化(%),變化
8046,南電,718000,0,-718000,1.3755,0.0,-1.3755,刪除
2383,台光電,563000,563000,0,6.1224,6.2428,0.1204,權重增加
8996,高力熱處理工業,1630000,1630000,0,4.7776,5.2659,0.4883,權重增加
3017,奇鋐科技,1009000,1009000,0,5.079,5.0885,0.0095,權重增加
6223,旺矽科技,326000,326000,0,4.4625,4.4629,0.0004,權重增加
3037,欣興,2097000,2097000,0,4.3693,4.418,0.0487,權重增加
3443,創意,311000,311000,0,3.2499,3.3656,0.1157,權重增加
2327,國巨*,1566000,1566000,0,3.1598,3.2859,0.1261,權重增加
6187,萬潤,1220000,1220000,0,2.9539,3.0047,0.0508,權重增加
6584,南俊國際,2204000,2204000,0,2.8368,2.881,0.0442,權重增加
3008,大立光,260000,260000,0,2.6838,2.8525,0.1687,權重增加
2368,金像電,945000,945000,0,2.6995,2.7607,0.0612,權重增加
2455,全新,2753000,2753000,0,2.371,2.5126,0.1416,權重增加
3661,世芯-KY,262000,262000,0,2.4011,2.4135,0.0124,權重增加
3105,穩懋,1949000,1949000,0,2.0408,2.157,0.1162,權重增加
3711,日月光投資控股,1629000,1629000,0,2.0482,2.0668,0.0186,權重增加
3653,健策,214000,214000,0,1.7203,1.8207,0.1004,權重增加
8021,尖點,1501000,1501000,0,1.6514,1.7348,0.0834,權重增加
7751,竑騰,375000,375000,0,1.1509,1.1635,0.0126,權重增加
3583,辛耘,566000,566000,0,0.9821,0.9981,0.016,權重增加
3189,景碩科技,440013,440013,0,0.5999,0.6624,0.0625,權重增加
7734,印能科技,56000,56000,0,0.3829,0.4,0.0171,權重增加
3260,威剛科技,358000,358000,0,0.317,0.3175,0.0005,權重增加
2330,台積電,1706000,1706000,0,8.6963,8.6764,-0.0199,權重減少
2345,智邦科技,977000,977000,0,5.2292,5.198,-0.0312,權重減少
3665,貿聯-KY,955000,955000,0,4.3001,4.2562,-0.0439,權重減少
2059,川湖科技,293000,293000,0,4.1384,4.1361,-0.0023,權重減少
2454,聯發科技,406000,406000,0,3.9322,3.8613,-0.0709,權重減少
6515,穎崴科技,145000,145000,0,3.0627,2.9219,-0.1408,權重減少
8299,群聯電子,445000,445000,0,2.2447,2.211,-0.0337,權重減少
2308,台達電,344000,344000,0,1.6293,1.5808,-0.0485,權重減少
7769,鴻勁精密,91000,91000,0,1.4225,1.4223,-0.0002,權重減少
2303,聯電,2000000,2000000,0,0.5989,0.597,-0.0019,權重減少
2337,旺宏,1343000,1343000,0,0.4749,0.4625,-0.0124,權重減少
3363,上詮,300000,300000,0,0.4504,0.4382,-0.0122,權重減少
6139,亞翔,250000,250000,0,0.4311,0.4296,-0.0015,權重減少
6805,富世達,109000,109000,0,0.3993,0.3986,-0.0007,權重減少
5289,宜鼎國際,98000,98000,0,0.4069,0.3876,-0.0193,權重減少
3264,欣銓科技,72000,72000,0,0.0336,0.0324,-0.0012,權重減少
2360,致茂電子,200000,50000,-150000,0.9876,0.2377,-0.7499,減少
3491,昇達科,1000,1000,0,0.0033,0.0033,0.0,無變化
