股票代號,股票名稱,持有股數_昨日,持有股數_今日,股數變化,權重(%)_昨日,權重(%)_今日,權重變化(%),變化
6187,萬潤,801000,0,-801000,1.9845,0.0,-1.9845,刪除
8046,南電,0,300000,300000,0.0,0.8347,0.8347,新增
3017,奇鋐科技,1002000,1002000,0,6.5254,7.3431,0.8177,權重增加
2345,智邦科技,1080000,1080000,0,5.4407,5.6145,0.1738,權重增加
8996,高力熱處理工業,1630000,1630000,0,4.0961,4.7968,0.7007,權重增加
3008,大立光,420000,420000,0,4.3159,4.4822,0.1663,權重增加
2454,聯發科技,406000,406000,0,3.8511,3.9284,0.0773,權重增加
3231,緯創資通,7662000,7662000,0,3.4531,3.4567,0.0036,權重增加
6584,南俊國際,2231000,2231000,0,2.8321,3.0502,0.2181,權重增加
2308,台達電,632000,632000,0,2.6917,2.7283,0.0366,權重增加
2455,全新,2753000,2753000,0,2.3872,2.421,0.0338,權重增加
3661,世芯-KY,215000,215000,0,2.0064,2.063,0.0566,權重增加
3443,創意,160000,160000,0,1.8706,2.0299,0.1593,權重增加
5289,宜鼎國際,98000,98000,0,0.3399,0.3445,0.0046,權重增加
5347,世界先進,629000,629000,0,0.2345,0.2348,0.0003,權重增加
3264,欣銓科技,72000,72000,0,0.0372,0.038,0.0008,權重增加
2059,川湖科技,293000,293000,0,8.514,8.2098,-0.3042,權重減少
2330,台積電,1406000,1406000,0,7.9455,7.8406,-0.1049,權重減少
2383,台光電,466000,466000,0,6.0861,6.0724,-0.0137,權重減少
3665,貿聯-KY,1161000,1161000,0,6.0268,5.8628,-0.164,權重減少
3037,欣興,2497000,2497000,0,5.8447,5.7185,-0.1262,權重減少
6223,旺矽科技,263000,263000,0,3.9189,3.912,-0.0069,權重減少
8021,尖點,2682000,2682000,0,2.7781,2.635,-0.1431,權重減少
1303,南亞,5445000,5445000,0,2.4411,2.3568,-0.0843,權重減少
3711,日月光投資控股,1629000,1629000,0,2.4177,2.3353,-0.0824,權重減少
1815,富喬工業,10877000,10877000,0,2.2765,2.2394,-0.0371,權重減少
3189,景碩科技,840013,840013,0,1.6689,1.6371,-0.0318,權重減少
4958,臻鼎-KY,1000000,1000000,0,1.1561,1.0935,-0.0626,權重減少
6669,緯穎科技服務,77000,77000,0,1.0774,1.0703,-0.0071,權重減少
6515,穎崴科技,42000,42000,0,0.6857,0.6487,-0.037,權重減少
6139,亞翔,250000,250000,0,0.4789,0.4608,-0.0181,權重減少
6805,富世達,109000,109000,0,0.4603,0.4568,-0.0035,權重減少
7734,印能科技,56000,56000,0,0.4268,0.4168,-0.01,權重減少
3260,威剛科技,358000,358000,0,0.3425,0.3353,-0.0072,權重減少
3583,辛耘,147000,147000,0,0.2434,0.242,-0.0014,權重減少
7751,竑騰,257000,149000,-108000,0.761,0.4487,-0.3123,減少
2337,旺宏,1343000,1343000,0,0.4198,0.4198,0.0,無變化
