股票代號,股票名稱,權重(%),持有股數
2330,台積電,5.79,279000
3702,大聯大,4.52,5267000
2383,台光電,4.19,89000
2059,川湖科技,3.92,32000
3653,健策,3.82,77000
3706,神達投資控股,3.46,4379000
2454,聯發科技,3.28,96000
2441,超豐,2.94,2890000
6669,緯穎科技服務,2.78,45000
7769,鴻勁精密,2.78,50000
2308,台達電,2.75,175000
3037,欣興,2.49,262000
3081,聯亞,2.4,84700
2408,南亞科技,2.22,479000
2368,金像電,2.12,219000
2382,廣達電腦,2.0,702500
2357,華碩,1.97,238000
2345,智邦科技,1.84,101000
9941,裕融企業,1.84,2472000
6515,穎崴科技,1.77,33000
6223,旺矽科技,1.72,40000
2886,兆豐金,1.65,3984000
3017,奇鋐科技,1.61,56000
3026,禾伸堂,1.56,246000
5534,長虹建設,1.54,2382000
2887,台新新光金,1.53,4752360
2395,研華,1.44,251000
2885,元大金,1.43,2615040
2892,第一金融控股,1.36,4603000
3665,貿聯-KY,1.26,65000
2880,華南金控,1.23,3560388
2360,致茂電子,1.21,70000
5274,信驊科技,1.21,9000
6805,富世達,1.17,58000
2393,億光電子工業,1.17,2056000
2890,永豐金融,1.09,3202780
2884,玉山金融控股,1.06,3184000
2451,創見,0.99,393000
3008,大立光,0.97,16000
6274,台燿,0.96,75000
4746,台耀化學,0.96,2276000
2727,王品餐飲,0.95,472000
3293,鈊象電子,0.87,144000
5434,崇越,0.73,160000
6138,茂達電子,0.72,284000
5904,寶雅國際,0.69,1077000
8210,勤誠興業,0.66,78000
3227,原相,0.61,361000
4904,遠傳電信,0.56,650000
5439,高技,0.54,238000
9958,世紀鋼鐵結構,0.54,685000
3090,日電貿,0.54,363000
6121,新 普,0.51,146000
4551,智伸科,0.43,313000
2618,長榮航,0.34,956000
6435,大中,0.29,130000
9939,宏全國際,0.28,248000
3711,日月光投資控股,0.21,39000
