股票代號,股票名稱,持有股數_昨日,持有股數_今日,股數變化,權重(%)_昨日,權重(%)_今日,權重變化(%),變化
6139,亞翔,3775000,3875000,100000,5.943,6.1681,0.2251,增加
2330,台積電,1794000,1794000,0,8.3192,8.4227,0.1035,權重增加
2454,聯發科技,872000,872000,0,6.7281,6.8717,0.1436,權重增加
2059,川湖科技,185000,185000,0,4.2912,4.4661,0.1749,權重增加
6223,旺矽科技,307000,307000,0,3.7235,3.8004,0.0769,權重增加
2383,台光電,327000,327000,0,3.3704,3.548,0.1776,權重增加
2360,致茂電子,837000,837000,0,3.3105,3.4128,0.1023,權重增加
4958,臻鼎-KY,3178000,3178000,0,2.9133,3.0526,0.1393,權重增加
3491,昇達科,988000,988000,0,2.3774,2.4694,0.092,權重增加
3017,奇鋐科技,407000,407000,0,2.1926,2.202,0.0094,權重增加
2303,聯電,9109000,9109000,0,2.183,2.1963,0.0133,權重增加
6488,環球晶,1134000,1134000,0,1.8869,1.8873,0.0004,權重增加
3583,辛耘,1158000,1158000,0,1.5703,1.5935,0.0232,權重增加
6274,台燿,450000,450000,0,1.2801,1.4158,0.1357,權重增加
3711,日月光投資控股,1016000,1016000,0,1.2471,1.2527,0.0056,權重增加
2316,楠梓電,3471000,3471000,0,1.1057,1.1703,0.0646,權重增加
7769,鴻勁精密,93000,93000,0,1.1379,1.1576,0.0197,權重增加
5274,信驊科技,29900,29900,0,0.9635,0.9636,0.0001,權重增加
2327,國巨*,696000,696000,0,0.777,0.8418,0.0648,權重增加
2351,順德,2316000,2316000,0,0.7603,0.7695,0.0092,權重增加
2472,立隆電子工業,1533000,1533000,0,0.7183,0.7347,0.0164,權重增加
6831,邁科科技,300000,300000,0,0.3618,0.3628,0.001,權重增加
2376,技嘉,443000,443000,0,0.3016,0.3043,0.0027,權重增加
2885,元大金,2128420,2128420,0,0.2828,0.2853,0.0025,權重增加
6446,藥華醫藥,42000,42000,0,0.1088,0.1202,0.0114,權重增加
3443,創意,1000,1000,0,0.0088,0.0097,0.0009,權重增加
2368,金像電,2000,2000,0,0.0036,0.0037,0.0001,權重增加
1519,華城電機,660,660,0,0.0008,0.0009,0.0001,權重增加
8358,金居,1000,1000,0,0.0006,0.0007,0.0001,權重增加
6669,緯穎科技服務,510000,510000,0,5.9721,5.9285,-0.0436,權重減少
2345,智邦科技,817000,817000,0,3.4463,3.4193,-0.027,權重減少
3105,穩懋,4276000,4276000,0,3.2117,3.1098,-0.1019,權重減少
6531,愛普科技,1440000,1440000,0,2.5896,2.3457,-0.2439,權重減少
3008,大立光,248000,248000,0,2.1261,2.1172,-0.0089,權重減少
3264,欣銓科技,4780000,4780000,0,2.0722,2.0567,-0.0155,權重減少
6257,矽格,4821000,4821000,0,1.9491,1.9326,-0.0165,權重減少
2377,微星,5678000,5678000,0,1.7147,1.7141,-0.0006,權重減少
2467,志聖,1505000,1505000,0,1.6128,1.5695,-0.0433,權重減少
3702,大聯大,5678000,5678000,0,1.4382,1.3968,-0.0414,權重減少
8016,矽創,2270000,2270000,0,1.3755,1.3616,-0.0139,權重減少
3036,文曄,2404000,2404000,0,1.0726,1.0367,-0.0359,權重減少
1785,光洋科,4384000,4384000,0,1.0122,0.9195,-0.0927,權重減少
8996,高力熱處理工業,382000,382000,0,0.8001,0.7975,-0.0026,權重減少
6278,台表科,2310000,2310000,0,0.7718,0.7584,-0.0134,權重減少
3529,力旺電子,93000,93000,0,0.5137,0.4849,-0.0288,權重減少
6239,力成科技,710000,710000,0,0.3991,0.3931,-0.006,權重減少
2451,創見,521000,521000,0,0.2999,0.292,-0.0079,權重減少
6187,萬潤,91000,91000,0,0.1932,0.1873,-0.0059,權重減少
3231,緯創資通,91000,91000,0,0.0342,0.034,-0.0002,權重減少
5536,聖暉*,3736000,3679000,-57000,7.6068,6.7864,-0.8204,減少
6177,達麗,194350,194350,0,0.0183,0.0183,0.0,無變化
8046,南電,1000,1000,0,0.0022,0.0022,0.0,無變化
4441,振大環球,4000,4000,0,0.0015,0.0015,0.0,無變化
3706,神達投資控股,1400,1400,0,0.0002,0.0002,0.0,無變化
2881,富邦金融控股,250,250,0,0.0,0.0,0.0,無變化
2886,兆豐金,1000,1000,0,0.0,0.0,0.0,無變化
