股票代號,股票名稱,權重(%),持有股數
3017,奇鋐科技,7.9393,1001000
2330,台積電,6.7771,1116000
2059,川湖科技,6.1148,205000
2383,台光電,6.056,465000
3037,欣興,6.0099,2482000
3665,貿聯-KY,5.8531,1161000
8996,高力熱處理工業,5.0633,1630000
2345,智邦科技,5.0316,1074000
3008,大立光,4.5172,293000
6223,旺矽科技,3.7121,268000
3231,緯創資通,3.3666,7245000
1815,富喬工業,3.3296,11420868
1303,南亞,3.0708,5445000
6584,南俊國際,3.0504,2231000
8021,尖點,2.9466,2682000
2455,全新,2.8466,2150000
8046,南電,2.6742,968000
6669,緯穎科技服務,2.5326,429675
3443,創意,2.52,164000
3661,世芯-KY,1.8366,215000
3189,景碩科技,1.7084,844013
2454,聯發科技,1.6355,145000
4958,臻鼎-KY,1.2158,1000000
6515,穎崴科技,0.8193,51000
6213,聯茂,0.4929,373000
5274,信驊科技,0.4907,11000
3026,禾伸堂,0.4824,261000
2357,華碩,0.4631,196000
2301,光寶科技,0.4597,659000
6139,亞翔,0.4538,250000
3653,健策,0.4461,33000
2376,技嘉,0.4436,508000
3081,聯亞,0.429,63000
8150,南茂科技,0.4205,1957000
6187,萬潤,0.4145,134000
2404,漢唐,0.4084,155000
2360,致茂電子,0.4025,76000
6274,台燿,0.3941,113000
3711,日月光投資控股,0.3768,250000
5289,宜鼎國際,0.3244,99952
5347,世界先進,0.245,629000
