股票代號,股票名稱,持有股數_昨日,持有股數_今日,股數變化,權重(%)_昨日,權重(%)_今日,權重變化(%),變化
5536,聖暉*,3716000,3729000,13000,8.6037,8.6961,0.0924,增加
2454,聯發科技,857000,861000,4000,6.4319,6.3626,-0.0693,增加
2345,智邦科技,794000,798000,4000,3.7468,3.6735,-0.0733,增加
6488,環球晶,1134000,1137000,3000,3.3042,3.4779,0.1737,增加
2383,台光電,326000,327000,1000,3.2782,3.2813,0.0031,增加
6669,緯穎科技服務,297000,298000,1000,2.8904,2.9512,0.0608,增加
2303,聯電,8921000,8952000,31000,2.6868,2.7292,0.0424,增加
6257,矽格,4627000,4647000,20000,2.1289,2.111,-0.0179,增加
3008,大立光,199000,201000,2000,1.6965,1.7308,0.0343,增加
3583,辛耘,1105000,1111000,6000,1.7215,1.7182,-0.0033,增加
2377,微星,5638000,5652000,14000,1.6538,1.6775,0.0237,增加
2467,志聖,1439000,1446000,7000,1.6799,1.5648,-0.1151,增加
8016,矽創,2185000,2193000,8000,1.4019,1.3704,-0.0315,增加
3702,大聯大,5340000,5473000,133000,1.2258,1.3205,0.0947,增加
3711,日月光投資控股,996000,1000000,4000,1.3093,1.2942,-0.0151,增加
2316,楠梓電,3375000,3388000,13000,1.2284,1.2586,0.0302,增加
6274,台燿,436000,438000,2000,1.326,1.2336,-0.0924,增加
6531,愛普科技,694000,696000,2000,1.216,1.2057,-0.0103,增加
3036,文曄,2269000,2283000,14000,0.9393,0.938,-0.0013,增加
2368,金像電,386000,388000,2000,0.7914,0.7951,0.0037,增加
6278,台表科,2167000,2179000,12000,0.7674,0.7589,-0.0085,增加
2376,技嘉,1056000,1058000,2000,0.6951,0.7134,0.0183,增加
2351,順德,1700000,1706000,6000,0.7021,0.6699,-0.0322,增加
2330,台積電,1967000,1967000,0,9.4171,9.611,0.1939,權重增加
4958,臻鼎-KY,3147000,3147000,0,3.9889,3.9966,0.0077,權重增加
2360,致茂電子,823000,823000,0,2.9874,3.0242,0.0368,權重增加
2059,川湖科技,183000,183000,0,2.9012,2.954,0.0528,權重增加
6239,力成科技,700000,700000,0,0.4292,0.4296,0.0004,權重增加
2885,元大金,2114420,2114420,0,0.2833,0.2847,0.0014,權重增加
3376,新日興,359000,359000,0,0.1366,0.1431,0.0065,權重增加
6177,達麗,194350,194350,0,0.0175,0.018,0.0005,權重增加
8046,南電,1000,1000,0,0.0024,0.0026,0.0002,權重增加
6139,亞翔,3067000,3067000,0,5.3137,5.1645,-0.1492,權重減少
6223,旺矽科技,307000,307000,0,3.9997,3.9298,-0.0699,權重減少
3105,穩懋,4143000,4143000,0,3.276,3.1661,-0.1099,權重減少
3491,昇達科,967000,967000,0,2.3906,2.3331,-0.0575,權重減少
3264,欣銓科技,4628000,4628000,0,2.0431,2.0323,-0.0108,權重減少
3017,奇鋐科技,407000,407000,0,1.7768,1.7421,-0.0347,權重減少
2472,立隆電子工業,2342000,2342000,0,1.5761,1.5179,-0.0582,權重減少
2327,國巨*,844000,844000,0,1.3513,1.3257,-0.0256,權重減少
7769,鴻勁精密,91000,91000,0,1.1972,1.1749,-0.0223,權重減少
8996,高力熱處理工業,376000,376000,0,0.9148,0.892,-0.0228,權重減少
6147,頎邦,2300000,2300000,0,0.8935,0.8637,-0.0298,權重減少
5274,信驊科技,9900,9900,0,0.2626,0.2595,-0.0031,權重減少
2451,創見,519000,519000,0,0.2571,0.2504,-0.0067,權重減少
6187,萬潤,91000,91000,0,0.1848,0.1809,-0.0039,權重減少
3443,創意,1000,1000,0,0.0083,0.0081,-0.0002,權重減少
1785,光洋科,5455000,4349000,-1106000,1.3807,1.0537,-0.327,減少
4441,振大環球,4000,4000,0,0.0014,0.0014,0.0,無變化
8358,金居,1000,1000,0,0.0009,0.0009,0.0,無變化
1519,華城電機,600,600,0,0.0008,0.0008,0.0,無變化
3706,神達投資控股,1400,1400,0,0.0002,0.0002,0.0,無變化
2881,富邦金融控股,250,250,0,0.0,0.0,0.0,無變化
2886,兆豐金,1000,1000,0,0.0,0.0,0.0,無變化
