股票代號,股票名稱,投資比例(%),持有股數
2330,台積電,7.73,1761000.0
3037,欣興,5.17,2902000.0
2383,台光電,4.95,536000.0
2345,智邦,4.94,1012000.0
6669,緯穎,4.89,465000.0
3661,世芯-KY,3.79,393000.0
6223,旺矽,3.77,339000.0
3443,創意,3.59,360000.0
8996,高力,3.54,1689000.0
2059,川湖,3.45,358000.0
