股票代號,股票名稱,權重(%),持有股數
3017,奇鋐科技,7.9858,1001000
2330,台積電,6.6944,1116000
2059,川湖科技,6.2332,205000
2383,台光電,6.0304,465000
3037,欣興,5.7504,2482000
3665,貿聯-KY,5.4559,1161000
2345,智邦科技,5.0992,1074000
8996,高力熱處理工業,4.8492,1630000
3008,大立光,4.6252,293000
6223,旺矽科技,3.7717,268000
1815,富喬工業,3.5661,10877000
3231,緯創資通,3.2814,7245000
6584,南俊國際,3.2617,2231000
1303,南亞,3.1075,5445000
8021,尖點,2.931,2682000
2455,全新,2.689,2150000
6669,緯穎科技服務,2.4417,429675
8046,南電,2.4096,968000
3443,創意,2.3738,164000
3661,世芯-KY,2.1042,215000
2454,聯發科技,1.6586,145000
3189,景碩科技,1.6398,844013
4958,臻鼎-KY,1.2264,1000000
5274,信驊科技,0.5134,11000
3026,禾伸堂,0.4734,261000
2301,光寶科技,0.4657,659000
6213,聯茂,0.4619,373000
2357,華碩,0.4607,196000
6187,萬潤,0.4507,134000
6139,亞翔,0.4505,250000
3653,健策,0.4447,33000
2376,技嘉,0.4404,508000
3081,聯亞,0.4383,63000
8150,南茂科技,0.4291,1957000
2360,致茂電子,0.418,76000
2404,漢唐,0.3971,155000
6274,台燿,0.3691,113000
5289,宜鼎國際,0.3325,99952
5347,世界先進,0.2321,629000
