股票代號,股票名稱,權重(%),持有股數
2330,台積電,8.8656,1794000
2454,聯發科技,6.7768,872000
6669,緯穎科技服務,6.5413,510000
6139,亞翔,5.9813,3828000
2059,川湖科技,5.0776,185000
2383,台光電,3.7271,320000
3105,穩懋,3.6782,4809000
2360,致茂電子,3.6344,844000
6223,旺矽科技,3.4403,307000
2345,智邦科技,3.4092,817000
6531,愛普科技,2.9875,1650000
3008,大立光,2.9564,257000
4958,臻鼎-KY,2.8738,3178000
3491,昇達科,2.6247,1000000
3017,奇鋐科技,2.2265,379000
6488,環球晶,2.1553,1117000
3583,辛耘,1.6716,1158000
3264,欣銓科技,1.6588,3985000
6274,台燿,1.3304,434000
2455,全新,1.3087,1572000
6214,精誠,1.2897,3504000
5483,中美晶,1.275,3533000
2377,微星,1.2726,4386000
2303,聯電,1.2625,5285000
2376,技嘉,1.253,1800000
3231,緯創資通,1.235,3432000
2301,光寶科技,1.225,2289000
2428,興勤電子工業,1.2246,2356000
2395,研華,1.199,901000
3265,台星科股份有限公司,1.1925,3472000
3711,日月光投資控股,1.1543,959000
3090,日電貿,1.149,3396000
2467,志聖,1.1483,1000000
2478,大毅,1.1355,4484000
5274,信驊科技,1.1299,35900
8996,高力熱處理工業,0.8538,382000
5536,聖暉*,0.8282,459000
6472,保瑞,0.4814,516000
2486,一詮精密,0.4743,950000
3529,力旺電子,0.4109,93000
6239,力成科技,0.3894,710000
6213,聯茂,0.3376,321000
3617,碩天,0.3208,603000
6196,帆宣,0.3117,310000
2476,鉅祥,0.3112,1303000
6672,騰輝電子-KY,0.2994,546000
2885,元大金,0.2904,2213556
8070,長華*,0.2872,2871000
5425,台半,0.2792,1544000
6446,藥華醫藥,0.1205,42000
6177,達麗,0.0189,194350
3443,創意,0.0114,1000
8046,南電,0.0023,1000
4441,振大環球,0.0014,4000
1519,華城電機,0.0009,660
8358,金居,0.0008,1000
3706,神達投資控股,0.0002,1400
2886,兆豐金,0.0,1000
2881,富邦金融控股,0.0,250
