股票代號,股票名稱,投資比例(%),持有股數
2330,台積電,9.66,11657000.0
2383,台光電,8.69,4723000.0
2454,聯發科,6.05,4263000.0
2345,智邦,5.66,6231000.0
2308,台達電,5.06,6572000.0
6223,旺矽,4.81,2169000.0
6669,緯穎,4.76,2344000.0
3017,奇鋐,4.61,4925000.0
8046,南電,4.35,12658000.0
2327,國巨*,4.23,18313000.0
