股票代號,股票名稱,持有股數_昨日,持有股數_今日,股數變化,權重(%)_昨日,權重(%)_今日,權重變化(%),變化
2330,台積電,484000,484000,0,8.22,8.3,0.08,權重增加
2308,台達電,292000,292000,0,3.83,4.02,0.19,權重增加
2383,台光電,99000,99000,0,3.77,3.9,0.13,權重增加
2408,南亞科技,789000,789000,0,2.57,2.59,0.02,權重增加
2454,聯發科技,91000,91000,0,2.56,2.57,0.01,權重增加
2059,川湖科技,43000,43000,0,2.18,2.21,0.03,權重增加
3017,奇鋐科技,119000,119000,0,1.95,1.98,0.03,權重增加
2360,致茂電子,122000,122000,0,1.8,1.84,0.04,權重增加
8299,群聯電子,80000,80000,0,1.34,1.35,0.01,權重增加
3665,貿聯-KY,97000,97000,0,1.31,1.32,0.01,權重增加
3592,瑞鼎科技,617000,617000,0,1.18,1.2,0.02,權重增加
2382,廣達電腦,443500,443500,0,1.16,1.18,0.02,權重增加
2727,王品餐飲,647000,647000,0,1.16,1.17,0.01,權重增加
6669,緯穎科技服務,34000,34000,0,1.06,1.13,0.07,權重增加
9938,台灣百和工業,3414000,3414000,0,1.07,1.1,0.03,權重增加
9941,裕融企業,1866000,1866000,0,1.06,1.07,0.01,權重增加
2204,中華,2641000,2641000,0,1.05,1.06,0.01,權重增加
8112,至上電子,1591000,1591000,0,1.05,1.06,0.01,權重增加
9907,統一實,8575000,8575000,0,0.93,0.94,0.01,權重增加
3293,鈊象電子,164000,164000,0,0.89,0.91,0.02,權重增加
4746,台耀化學,2276000,2276000,0,0.84,0.87,0.03,權重增加
3227,原相,460000,460000,0,0.71,0.78,0.07,權重增加
2892,第一金融控股,2594000,2594000,0,0.61,0.62,0.01,權重增加
9945,潤泰創新國際,3172000,3172000,0,0.61,0.62,0.01,權重增加
6138,茂達電子,216000,216000,0,0.52,0.57,0.05,權重增加
3706,神達投資控股,848000,848000,0,0.51,0.53,0.02,權重增加
6782,視陽,308000,308000,0,0.42,0.43,0.01,權重增加
7769,鴻勁精密,62000,62000,0,2.92,2.87,-0.05,權重減少
2368,金像電,280000,280000,0,2.42,2.34,-0.08,權重減少
3653,健策,95000,95000,0,2.35,2.28,-0.07,權重減少
6515,穎崴科技,36000,36000,0,2.14,2.09,-0.05,權重減少
6223,旺矽科技,42000,42000,0,1.98,1.84,-0.14,權重減少
2345,智邦科技,103000,103000,0,1.78,1.74,-0.04,權重減少
3081,聯亞,117000,117000,0,1.73,1.72,-0.01,權重減少
1319,東陽,2982000,2982000,0,1.67,1.64,-0.03,權重減少
3711,日月光投資控股,362000,362000,0,1.66,1.64,-0.02,權重減少
4915,致伸科技,3320000,3320000,0,1.77,1.56,-0.21,權重減少
2317,鴻海精密工業,860000,860000,0,1.55,1.53,-0.02,權重減少
5274,信驊科技,13000,13000,0,1.47,1.43,-0.04,權重減少
3090,日電貿,618000,618000,0,1.39,1.36,-0.03,權重減少
8210,勤誠興業,148000,148000,0,1.32,1.3,-0.02,權重減少
6274,台燿,109000,109000,0,1.25,1.23,-0.02,權重減少
2393,億光電子工業,2419000,2419000,0,1.19,1.17,-0.02,權重減少
5534,長虹建設,2069000,2069000,0,1.18,1.17,-0.01,權重減少
6670,復盛應用科技,624000,624000,0,1.14,1.13,-0.01,權重減少
2347,聯強,1668000,1668000,0,1.12,1.1,-0.02,權重減少
6805,富世達,89000,89000,0,1.06,1.05,-0.01,權重減少
3045,台灣大哥,1117000,1117000,0,0.96,0.95,-0.01,權重減少
4904,遠傳電信,1226000,1226000,0,0.95,0.94,-0.01,權重減少
2451,創見,457000,457000,0,0.92,0.91,-0.01,權重減少
8454,富邦媒體科技,408000,408000,0,0.96,0.9,-0.06,權重減少
6768,志強國際企業,1471000,1471000,0,0.82,0.81,-0.01,權重減少
2884,玉山金融控股,3184000,3184000,0,0.8,0.79,-0.01,權重減少
9939,宏全國際,736000,736000,0,0.69,0.68,-0.01,權重減少
2886,兆豐金,1898000,1898000,0,0.64,0.63,-0.01,權重減少
3702,大聯大,834000,834000,0,0.64,0.63,-0.01,權重減少
2344,華邦電子,185000,185000,0,0.28,0.27,-0.01,權重減少
2357,華碩,590000,590000,0,3.0,3.0,0.0,無變化
2618,長榮航,8019000,8019000,0,2.55,2.55,0.0,無變化
6121,新 普,433000,433000,0,1.31,1.31,0.0,無變化
9802,鈺齊國際,1285000,1285000,0,0.68,0.68,0.0,無變化
5904,寶雅國際,135000,135000,0,0.62,0.62,0.0,無變化
9958,世紀鋼鐵結構,626000,626000,0,0.51,0.51,0.0,無變化
9910,豐泰,349000,349000,0,0.18,0.18,0.0,無變化
3526,凡甲科技,65000,65000,0,0.14,0.14,0.0,無變化
4105,台灣東洋藥品工業,139000,139000,0,0.08,0.08,0.0,無變化
2731,雄獅旅行社,65000,65000,0,0.07,0.07,0.0,無變化
