股票代號,股票名稱,權重(%),持有股數
2059,川湖科技,8.5518,260000
2330,台積電,7.1145,1306000
3017,奇鋐科技,6.9537,1001000
2383,台光電,6.6042,465000
3037,欣興,6.5074,2483000
3665,貿聯-KY,5.9526,1161000
2345,智邦科技,5.4696,1074000
3008,大立光,5.0855,420000
8996,高力熱處理工業,4.3838,1630000
2454,聯發科技,3.6103,406000
6223,旺矽科技,3.2327,268000
6584,南俊國際,3.0741,2231000
3231,緯創資通,3.0015,7245000
2308,台達電,2.6327,632000
2455,全新,2.6308,2753000
8021,尖點,2.5077,2682000
1303,南亞,2.4926,5445000
1815,富喬工業,2.3726,10877000
3443,創意,2.0777,164000
3661,世芯-KY,1.8282,215000
3189,景碩科技,1.671,844013
6669,緯穎科技服務,1.1279,77000
4958,臻鼎-KY,1.0849,1000000
3711,日月光投資控股,0.9816,716000
8046,南電,0.8549,300000
6515,穎崴科技,0.607,42000
6139,亞翔,0.4474,250000
5274,信驊科技,0.4294,11000
3081,聯亞,0.4217,63000
6213,聯茂,0.4166,373000
2301,光寶科技,0.4125,659000
2357,華碩,0.4082,196000
2376,技嘉,0.4046,508000
2360,致茂電子,0.4009,76000
6274,台燿,0.3996,113000
8150,南茂科技,0.3991,1957000
3026,禾伸堂,0.399,261000
2404,漢唐,0.3955,155000
3653,健策,0.389,33000
6187,萬潤,0.3864,134000
5289,宜鼎國際,0.3274,98000
3583,辛耘,0.2362,147000
5347,世界先進,0.2231,629000
7751,竑騰,0.0878,25000
3264,欣銓科技,0.0346,72000
