股票代號,股票名稱_今日,投資比例(%)_今日,持有股數_今日,股票名稱_昨日,投資比例(%)_昨日,持有股數_昨日,股數變化,變化
1477,聚陽,2.68,1886000.0,聚陽,2.58,1494000.0,392000.0,加碼
2308,台達電,4.61,326000.0,台達電,4.61,258000.0,68000.0,加碼
2317,鴻海,2.73,1700000.0,鴻海,2.68,1346000.0,354000.0,加碼
2330,台積電,7.58,515000.0,台積電,7.39,408000.0,107000.0,加碼
2345,智邦,2.43,159000.0,智邦,2.53,126000.0,33000.0,加碼
2357,華碩,2.92,700000.0,華碩,2.78,554000.0,146000.0,加碼
2368,0,0.0,0.0,金像電,2.33,205000.0,-205000.0,減碼
2382,廣達,2.45,1119000.0,廣達,2.39,886000.0,233000.0,加碼
2383,台光電,3.26,107000.0,台光電,3.31,85000.0,22000.0,加碼
6669,緯穎,2.57,77000.0,0,0.0,0.0,77000.0,加碼
7769,鴻勁,2.68,72000.0,鴻勁,2.61,57000.0,15000.0,加碼
