股票代號,股票名稱,持有股數_昨日,持有股數_今日,股數變化,權重(%)_昨日,權重(%)_今日,權重變化(%),變化
6669,緯穎科技服務,228000,0,-228000,2.3845,0.0,-2.3845,刪除
2330,台積電,1706000,1706000,0,8.6479,8.6963,0.0484,權重增加
2383,台光電,563000,563000,0,6.0442,6.1224,0.0782,權重增加
2345,智邦科技,977000,977000,0,5.0672,5.2292,0.162,權重增加
8996,高力熱處理工業,1630000,1630000,0,4.3661,4.7776,0.4115,權重增加
3037,欣興,2097000,2097000,0,4.2967,4.3693,0.0726,權重增加
2454,聯發科技,406000,406000,0,3.8734,3.9322,0.0588,權重增加
3443,創意,311000,311000,0,3.1961,3.2499,0.0538,權重增加
2327,國巨*,1566000,1566000,0,3.1418,3.1598,0.018,權重增加
6187,萬潤,1220000,1220000,0,2.9424,2.9539,0.0115,權重增加
2368,金像電,945000,945000,0,2.6624,2.6995,0.0371,權重增加
3008,大立光,260000,260000,0,2.4528,2.6838,0.231,權重增加
3661,世芯-KY,262000,262000,0,2.3766,2.4011,0.0245,權重增加
2455,全新,2753000,2753000,0,2.1682,2.371,0.2028,權重增加
8299,群聯電子,445000,445000,0,2.2035,2.2447,0.0412,權重增加
8021,尖點,1501000,1501000,0,1.621,1.6514,0.0304,權重增加
2308,台達電,344000,344000,0,1.6226,1.6293,0.0067,權重增加
7769,鴻勁精密,91000,91000,0,1.3994,1.4225,0.0231,權重增加
8046,南電,718000,718000,0,1.3179,1.3755,0.0576,權重增加
7751,竑騰,375000,375000,0,1.1125,1.1509,0.0384,權重增加
2360,致茂電子,200000,200000,0,0.9668,0.9876,0.0208,權重增加
2337,旺宏,1343000,1343000,0,0.4557,0.4749,0.0192,權重增加
5289,宜鼎國際,98000,98000,0,0.4016,0.4069,0.0053,權重增加
7734,印能科技,56000,56000,0,0.3502,0.3829,0.0327,權重增加
3017,奇鋐科技,1009000,1009000,0,5.1901,5.079,-0.1111,權重減少
6223,旺矽科技,326000,326000,0,4.4774,4.4625,-0.0149,權重減少
3665,貿聯-KY,955000,955000,0,4.6167,4.3001,-0.3166,權重減少
2059,川湖科技,293000,293000,0,4.3525,4.1384,-0.2141,權重減少
6515,穎崴科技,145000,145000,0,3.0716,3.0627,-0.0089,權重減少
6584,南俊國際,2204000,2204000,0,2.94,2.8368,-0.1032,權重減少
3711,日月光投資控股,1629000,1629000,0,2.0513,2.0482,-0.0031,權重減少
3105,穩懋,1949000,1949000,0,2.1256,2.0408,-0.0848,權重減少
3653,健策,214000,214000,0,1.7516,1.7203,-0.0313,權重減少
3583,辛耘,566000,566000,0,0.9869,0.9821,-0.0048,權重減少
3189,景碩科技,440013,440013,0,0.6198,0.5999,-0.0199,權重減少
2303,聯電,2000000,2000000,0,0.604,0.5989,-0.0051,權重減少
3363,上詮,300000,300000,0,0.4526,0.4504,-0.0022,權重減少
6139,亞翔,250000,250000,0,0.4722,0.4311,-0.0411,權重減少
6805,富世達,109000,109000,0,0.4036,0.3993,-0.0043,權重減少
3260,威剛科技,358000,358000,0,0.3232,0.317,-0.0062,權重減少
3264,欣銓科技,72000,72000,0,0.035,0.0336,-0.0014,權重減少
3491,昇達科,1000,1000,0,0.0033,0.0033,0.0,無變化
