股票代號,股票名稱,持有股數_昨日,持有股數_今日,股數變化,權重(%)_昨日,權重(%)_今日,權重變化(%),變化
6669,緯穎科技服務,510000,1391225,881225,7.5094,7.0185,-0.4909,增加
2330,台積電,1794000,1794000,0,8.2633,8.2702,0.0069,權重增加
6223,旺矽科技,307000,307000,0,3.1352,3.139,0.0038,權重增加
6531,愛普科技,1650000,1650000,0,2.9839,3.0521,0.0682,權重增加
3583,辛耘,1158000,1158000,0,1.6897,1.6943,0.0046,權重增加
6214,精誠,3494000,3494000,0,1.2037,1.2358,0.0321,權重增加
5274,信驊科技,35900,35900,0,1.1602,1.2299,0.0697,權重增加
6239,力成科技,1910000,1910000,0,1.0239,1.0263,0.0024,權重增加
8996,高力熱處理工業,382000,382000,0,0.8473,0.934,0.0867,權重增加
2486,一詮精密,1607000,1607000,0,0.8372,0.8945,0.0573,權重增加
6472,保瑞,1032000,1032000,0,0.8182,0.8427,0.0245,權重增加
2885,元大金,2213556,2213556,0,0.2787,0.2853,0.0066,權重增加
6446,藥華醫藥,42000,42000,0,0.1038,0.1059,0.0021,權重增加
6640,均華,13000,13000,0,0.0274,0.0304,0.003,權重增加
6177,達麗,194350,194350,0,0.0174,0.0177,0.0003,權重增加
3105,穩懋,5709000,5709000,0,5.3023,5.1808,-0.1215,權重減少
3491,昇達科,1180000,1180000,0,3.2967,3.2957,-0.001,權重減少
2467,志聖,1000000,1000000,0,1.1779,1.1771,-0.0008,權重減少
3529,力旺電子,93000,93000,0,0.4634,0.4305,-0.0329,權重減少
2454,聯發科技,742000,736000,-6000,6.044,6.0816,0.0376,減少
6139,亞翔,3800000,3771000,-29000,5.5235,5.2553,-0.2682,減少
2059,川湖科技,184000,183000,-1000,4.9149,4.9043,-0.0106,減少
3008,大立光,255000,254000,-1000,3.6488,3.8343,0.1855,減少
2383,台光電,317000,315000,-2000,3.375,3.3152,-0.0598,減少
2360,致茂電子,837000,830000,-7000,3.2074,3.1685,-0.0389,減少
4958,臻鼎-KY,3178000,3158000,-20000,3.2096,3.0947,-0.1149,減少
2345,智邦科技,627000,621000,-6000,2.6098,2.5687,-0.0411,減少
3017,奇鋐科技,376000,374000,-2000,2.4203,2.3928,-0.0275,減少
6488,環球晶,1108000,1100000,-8000,2.079,2.056,-0.023,減少
2301,光寶科技,3273000,3258000,-15000,1.8566,1.9836,0.127,減少
2395,研華,1473000,1466000,-7000,1.977,1.9608,-0.0162,減少
2455,全新,1562000,1553000,-9000,1.545,1.6269,0.0819,減少
2377,微星,4353000,4322000,-31000,1.2654,1.2948,0.0294,減少
2303,聯電,5243000,5205000,-38000,1.3114,1.2676,-0.0438,減少
2376,技嘉,1786000,1773000,-13000,1.2103,1.2388,0.0285,減少
3231,緯創資通,3405000,3404000,-1000,1.1698,1.2205,0.0507,減少
5483,中美晶,3506000,3481000,-25000,1.2144,1.2043,-0.0101,減少
3265,台星科股份有限公司,3445000,3418000,-27000,1.1868,1.1792,-0.0076,減少
6274,台燿,431000,428000,-3000,1.1797,1.1664,-0.0133,減少
5425,台半,6468000,6445000,-23000,1.1623,1.1523,-0.01,減少
2428,興勤電子工業,2337000,2318000,-19000,1.1293,1.1223,-0.007,減少
3090,日電貿,3371000,3346000,-25000,1.1009,1.0897,-0.0112,減少
3711,日月光投資控股,950000,942000,-8000,1.0939,1.0724,-0.0215,減少
2478,大毅,4451000,4418000,-33000,1.0376,1.0332,-0.0044,減少
5536,聖暉*,459000,455000,-4000,0.765,0.7238,-0.0412,減少
2476,鉅祥,1294000,1285000,-9000,0.3114,0.3117,0.0003,減少
6196,帆宣,307000,305000,-2000,0.2938,0.29,-0.0038,減少
6672,騰輝電子-KY,541000,537000,-4000,0.2844,0.2823,-0.0021,減少
3617,碩天,591000,579000,-12000,0.2805,0.2786,-0.0019,減少
8070,長華*,2839000,2807000,-32000,0.2695,0.2745,0.005,減少
3443,創意,1000,1000,0,0.0113,0.0113,0.0,無變化
8046,南電,1000,1000,0,0.0023,0.0023,0.0,無變化
4441,振大環球,4000,4000,0,0.0013,0.0013,0.0,無變化
1519,華城電機,660,660,0,0.0009,0.0009,0.0,無變化
8358,金居,1000,1000,0,0.0009,0.0009,0.0,無變化
2881,富邦金融控股,250,250,0,0.0,0.0,0.0,無變化
2886,兆豐金,1000,1000,0,0.0,0.0,0.0,無變化
