股票代號,股票名稱,持有股數_昨日,持有股數_今日,股數變化,權重(%)_昨日,權重(%)_今日,權重變化(%),變化
2357,華碩,590000,590000,0,3.1,3.11,0.01,權重增加
7769,鴻勁精密,58000,58000,0,2.64,2.68,0.04,權重增加
2618,長榮航,8019000,8019000,0,2.3,2.41,0.11,權重增加
2368,金像電,280000,280000,0,2.37,2.4,0.03,權重增加
2059,川湖科技,43000,43000,0,2.15,2.21,0.06,權重增加
6515,穎崴科技,33000,33000,0,2.08,2.15,0.07,權重增加
3017,奇鋐科技,119000,119000,0,1.93,2.06,0.13,權重增加
1319,東陽,3570000,3570000,0,1.89,1.94,0.05,權重增加
8454,富邦媒體科技,816000,816000,0,1.8,1.94,0.14,權重增加
6223,旺矽科技,39000,39000,0,1.74,1.92,0.18,權重增加
8210,勤誠興業,191000,191000,0,1.67,1.73,0.06,權重增加
4915,致伸科技,3320000,3320000,0,1.67,1.69,0.02,權重增加
5274,信驊科技,13000,13000,0,1.61,1.63,0.02,權重增加
3711,日月光投資控股,362000,362000,0,1.6,1.62,0.02,權重增加
2317,鴻海精密工業,860000,860000,0,1.49,1.51,0.02,權重增加
6274,台燿,122000,122000,0,1.41,1.47,0.06,權重增加
8299,群聯電子,80000,80000,0,1.3,1.37,0.07,權重增加
3665,貿聯-KY,97000,97000,0,1.3,1.33,0.03,權重增加
2382,廣達電腦,518500,518500,0,1.29,1.32,0.03,權重增加
3090,日電貿,618000,618000,0,1.25,1.28,0.03,權重增加
6669,緯穎科技服務,40000,40000,0,1.25,1.26,0.01,權重增加
6121,新 普,433000,433000,0,1.21,1.23,0.02,權重增加
3592,瑞鼎科技,617000,617000,0,1.17,1.18,0.01,權重增加
9941,裕融企業,2133000,2133000,0,1.15,1.18,0.03,權重增加
2393,億光電子工業,2419000,2419000,0,1.12,1.15,0.03,權重增加
5534,長虹建設,2069000,2069000,0,1.09,1.12,0.03,權重增加
6805,富世達,89000,89000,0,1.05,1.1,0.05,權重增加
2727,王品餐飲,647000,647000,0,1.07,1.09,0.02,權重增加
2347,聯強,1668000,1668000,0,1.01,1.05,0.04,權重增加
8112,至上電子,1591000,1591000,0,1.02,1.04,0.02,權重增加
9938,台灣百和工業,3414000,3414000,0,1.0,1.03,0.03,權重增加
2204,中華,2641000,2641000,0,0.97,1.01,0.04,權重增加
3045,台灣大哥,1117000,1117000,0,0.89,0.91,0.02,權重增加
4904,遠傳電信,1226000,1226000,0,0.88,0.9,0.02,權重增加
9907,統一實,8575000,8575000,0,0.87,0.88,0.01,權重增加
4746,台耀化學,2276000,2276000,0,0.79,0.82,0.03,權重增加
3227,原相,460000,460000,0,0.7,0.72,0.02,權重增加
3293,鈊象電子,130000,130000,0,0.66,0.67,0.01,權重增加
9802,鈺齊國際,1285000,1285000,0,0.64,0.66,0.02,權重增加
2886,兆豐金,1898000,1898000,0,0.57,0.58,0.01,權重增加
2892,第一金融控股,2594000,2594000,0,0.56,0.57,0.01,權重增加
3706,神達投資控股,848000,848000,0,0.48,0.5,0.02,權重增加
6782,視陽,308000,308000,0,0.4,0.41,0.01,權重增加
9945,潤泰創新國際,2013000,2013000,0,0.36,0.37,0.01,權重增加
6138,茂達電子,97000,97000,0,0.23,0.24,0.01,權重增加
2330,台積電,484000,484000,0,8.06,7.92,-0.14,權重減少
2308,台達電,292000,292000,0,4.06,4.0,-0.06,權重減少
2408,南亞科技,789000,789000,0,2.4,2.39,-0.01,權重減少
3653,健策,85000,85000,0,2.18,2.12,-0.06,權重減少
2360,致茂電子,135000,135000,0,2.04,2.0,-0.04,權重減少
2454,聯發科技,68000,68000,0,2.06,1.99,-0.07,權重減少
2345,智邦科技,103000,103000,0,1.68,1.67,-0.01,權重減少
3081,聯亞,98000,98000,0,1.5,1.45,-0.05,權重減少
6670,復盛應用科技,624000,624000,0,1.2,1.04,-0.16,權重減少
2344,華邦電子,608000,370000,-238000,0.86,0.52,-0.34,減少
1477,聚陽實業,398000,250000,-148000,0.57,0.37,-0.2,減少
9910,豐泰,1113000,698000,-415000,0.53,0.34,-0.19,減少
2385,群光,724000,449000,-275000,0.53,0.33,-0.2,減少
3526,凡甲科技,205000,131000,-74000,0.42,0.28,-0.14,減少
2548,華固建設,354000,222000,-132000,0.24,0.15,-0.09,減少
2731,雄獅旅行社,209000,131000,-78000,0.21,0.14,-0.07,減少
4105,台灣東洋藥品工業,446000,279000,-167000,0.22,0.14,-0.08,減少
6146,耕興,80000,51000,-29000,0.1,0.07,-0.03,減少
2383,台光電,99000,99000,0,3.77,3.77,0.0,無變化
2451,創見,457000,457000,0,0.92,0.92,0.0,無變化
6768,志強國際企業,1471000,1471000,0,0.86,0.86,0.0,無變化
9939,宏全國際,736000,736000,0,0.65,0.65,0.0,無變化
2884,玉山金融控股,2561000,2561000,0,0.61,0.61,0.0,無變化
9958,世紀鋼鐵結構,626000,626000,0,0.49,0.49,0.0,無變化
5904,寶雅國際,87000,87000,0,0.39,0.39,0.0,無變化
3702,大聯大,386000,386000,0,0.28,0.28,0.0,無變化
