股票代號,股票名稱,權重(%),持有股數
2330,台積電,5.9,279000
2454,聯發科技,4.27,96000
2059,川湖科技,4.24,39000
3702,大聯大,3.97,4085000
2383,台光電,3.88,93000
3653,健策,3.86,77000
2308,台達電,3.02,185000
6669,緯穎科技服務,2.93,161225
7769,鴻勁精密,2.91,55000
3706,神達投資控股,2.89,4235400
3037,欣興,2.52,262000
2441,超豐,2.45,2248000
3081,聯亞,2.25,92700
2368,金像電,2.09,234000
6223,旺矽科技,2.07,45000
2382,廣達電腦,2.06,702500
2408,南亞科技,2.04,479000
2357,華碩,1.95,238000
6515,穎崴科技,1.88,38000
3017,奇鋐科技,1.83,63000
9941,裕融企業,1.79,2618480
2345,智邦科技,1.66,101000
3026,禾伸堂,1.65,246000
5274,信驊科技,1.62,9000
3008,大立光,1.54,28000
2360,致茂電子,1.47,70000
5534,長虹建設,1.45,2263000
2887,台新新光金,1.35,3664360
2884,玉山金融控股,1.26,3184000
2892,第一金融控股,1.25,3651000
3665,貿聯-KY,1.25,65000
2885,元大金,1.19,1958040
2886,兆豐金,1.17,2700000
2880,華南金控,1.17,2936388
6274,台燿,1.15,93000
3293,鈊象電子,1.14,183000
2451,創見,1.11,454000
6805,富世達,1.1,51000
2890,永豐金融,1.07,2734780
4746,台耀化學,0.9,2185000
6138,茂達電子,0.83,351000
6121,新 普,0.79,243000
4904,遠傳電信,0.77,851000
2618,長榮航,0.77,2099000
2395,研華,0.75,125000
3227,原相,0.74,471000
5904,寶雅國際,0.74,1216000
5434,崇越,0.73,160000
3090,日電貿,0.7,497000
2393,億光電子工業,0.67,1223000
5439,高技,0.61,279000
2727,王品餐飲,0.57,289000
4551,智伸科,0.55,405000
9958,世紀鋼鐵結構,0.54,685000
