股票代號,股票名稱,權重(%),持有股數
3017,奇鋐科技,8.4635,1001000
2059,川湖科技,6.7292,205000
2330,台積電,6.3698,1116000
2383,台光電,5.9634,465000
3665,貿聯-KY,5.898,1161000
2345,智邦科技,5.3416,1074000
3037,欣興,5.3022,2482000
3008,大立光,5.135,293000
8996,高力熱處理工業,5.0185,1630000
2455,全新,3.4426,2753000
3231,緯創資通,3.3974,7245000
6584,南俊國際,3.3499,2231000
6223,旺矽科技,3.2719,268000
1815,富喬工業,3.0526,10877000
1303,南亞,2.9079,5445000
8021,尖點,2.6678,2682000
6669,緯穎科技服務,2.6102,429675
8046,南電,2.4186,968000
3443,創意,2.2566,164000
3661,世芯-KY,2.1488,215000
2308,台達電,1.6511,382000
3189,景碩科技,1.6371,844013
2454,聯發科技,1.5161,145000
4958,臻鼎-KY,1.0965,1000000
2301,光寶科技,0.4807,659000
2357,華碩,0.4758,196000
3081,聯亞,0.4729,63000
3653,健策,0.4591,33000
6213,聯茂,0.4567,373000
5274,信驊科技,0.4551,11000
6139,亞翔,0.4357,250000
2376,技嘉,0.4343,508000
3026,禾伸堂,0.4333,261000
8150,南茂科技,0.4176,1957000
6187,萬潤,0.4141,134000
2404,漢唐,0.3927,155000
2360,致茂電子,0.3653,76000
6274,台燿,0.3653,113000
5289,宜鼎國際,0.3219,99952
5347,世界先進,0.2234,629000
