股票代號,股票名稱_今日,投資比例(%)_今日,持有股數_今日,股票名稱_昨日,投資比例(%)_昨日,持有股數_昨日,股數變化,變化
1477,聚陽,2.57,1951000.0,聚陽,2.67,1988000.0,-37000.0,減碼
2308,台達電,5.06,340000.0,台達電,5.12,347000.0,-7000.0,減碼
2317,鴻海,2.36,1342000.0,0,0.0,0.0,1342000.0,加碼
2330,台積電,6.93,484000.0,台積電,6.99,493000.0,-9000.0,減碼
2357,華碩,3.42,739000.0,華碩,3.22,753000.0,-14000.0,減碼
2360,致茂,2.53,165000.0,致茂,2.67,168000.0,-3000.0,減碼
2382,廣達,2.39,1157000.0,廣達,2.25,1179000.0,-22000.0,減碼
2383,台光電,2.96,95000.0,台光電,3.03,97000.0,-2000.0,減碼
2385,0,0.0,0.0,群光,2.28,2792000.0,-2792000.0,減碼
2618,長榮航,2.33,10641000.0,長榮航,2.37,10845000.0,-204000.0,減碼
7769,鴻勁,2.46,49000.0,鴻勁,2.38,50000.0,-1000.0,減碼
