股票代號,股票名稱,權重(%),持有股數
3017,奇鋐科技,8.1259,1001000
2330,台積電,6.607,1116000
2059,川湖科技,6.1052,205000
2383,台光電,6.0028,465000
3037,欣興,5.9193,2482000
3665,貿聯-KY,5.5071,1161000
8996,高力熱處理工業,5.2654,1630000
2345,智邦科技,5.1976,1074000
3008,大立光,4.8344,293000
6223,旺矽科技,3.6141,268000
1815,富喬工業,3.4561,11420868
3231,緯創資通,3.2887,7245000
6584,南俊國際,3.1399,2231000
1303,南亞,3.0928,5445000
8021,尖點,2.8503,2682000
2455,全新,2.7522,2150000
8046,南電,2.5806,968000
6669,緯穎科技服務,2.3993,429675
3443,創意,2.3337,164000
3661,世芯-KY,2.0164,215000
3189,景碩科技,1.646,844013
2454,聯發科技,1.6106,145000
4958,臻鼎-KY,1.2056,1000000
6515,穎崴科技,0.8917,51000
5274,信驊科技,0.4915,11000
3026,禾伸堂,0.4751,261000
6213,聯茂,0.4685,373000
2301,光寶科技,0.4629,659000
2357,華碩,0.4608,196000
3653,健策,0.4565,33000
6139,亞翔,0.4503,250000
3081,聯亞,0.4312,63000
8150,南茂科技,0.43,1957000
6187,萬潤,0.428,134000
2376,技嘉,0.4264,508000
2360,致茂電子,0.4262,76000
2404,漢唐,0.3964,155000
3711,日月光投資控股,0.3842,250000
6274,台燿,0.365,113000
5289,宜鼎國際,0.3252,99952
5347,世界先進,0.2371,629000
