股票代號,股票名稱_今日,投資比例(%)_今日,持有股數_今日,股票名稱_昨日,投資比例(%)_昨日,持有股數_昨日,股數變化,變化
2059,川湖,3.27,323000.0,0,0.0,0.0,323000.0,加碼
3443,0,0.0,0.0,創意,3.27,360000.0,-360000.0,減碼
