股票代號,股票名稱,權重(%),持有股數
2330,台積電,8.06,484000
2308,台達電,4.03,292000
2383,台光電,3.89,99000
2357,華碩,3.07,590000
7769,鴻勁精密,2.99,62000
2454,聯發科技,2.73,91000
2408,南亞科技,2.62,789000
2618,長榮航,2.49,8019000
2368,金像電,2.42,280000
6515,穎崴科技,2.28,36000
3653,健策,2.24,95000
2059,川湖科技,2.19,43000
3017,奇鋐科技,2.08,119000
6223,旺矽科技,2.02,42000
2360,致茂電子,1.86,122000
3081,聯亞,1.73,117000
2345,智邦科技,1.71,103000
4915,致伸科技,1.7,3320000
1319,東陽,1.65,2982000
3711,日月光投資控股,1.62,362000
5274,信驊科技,1.58,13000
2317,鴻海精密工業,1.54,860000
3090,日電貿,1.38,618000
8299,群聯電子,1.38,80000
8210,勤誠興業,1.32,148000
3665,貿聯-KY,1.3,97000
6274,台燿,1.29,109000
6121,新 普,1.27,433000
3592,瑞鼎科技,1.2,617000
2393,億光電子工業,1.16,2419000
5534,長虹建設,1.14,2069000
2382,廣達電腦,1.13,443500
2727,王品餐飲,1.12,647000
2347,聯強,1.1,1668000
6805,富世達,1.09,89000
6669,緯穎科技服務,1.08,34000
6670,復盛應用科技,1.07,624000
9938,台灣百和工業,1.06,3414000
9941,裕融企業,1.05,1866000
8112,至上電子,1.05,1591000
2204,中華,1.02,2641000
8454,富邦媒體科技,0.96,408000
4904,遠傳電信,0.93,1226000
3045,台灣大哥,0.93,1117000
2451,創見,0.92,457000
9907,統一實,0.92,8575000
6768,志強國際企業,0.88,1471000
3293,鈊象電子,0.87,164000
4746,台耀化學,0.82,2276000
2884,玉山金融控股,0.79,3184000
3227,原相,0.73,460000
9802,鈺齊國際,0.67,1285000
9939,宏全國際,0.66,736000
5904,寶雅國際,0.62,135000
3702,大聯大,0.62,834000
2886,兆豐金,0.62,1898000
2892,第一金融控股,0.59,2594000
9945,潤泰創新國際,0.59,3172000
6138,茂達電子,0.55,216000
9958,世紀鋼鐵結構,0.51,626000
3706,神達投資控股,0.51,848000
6782,視陽,0.41,308000
2344,華邦電子,0.28,185000
9910,豐泰,0.17,349000
3526,凡甲科技,0.14,65000
2731,雄獅旅行社,0.07,65000
4105,台灣東洋藥品工業,0.07,139000
