股票代號,股票名稱,持有股數_昨日,持有股數_今日,股數變化,權重(%)_昨日,權重(%)_今日,權重變化(%),變化
2337,旺宏,1343000,0,-1343000,0.3922,0.0,-0.3922,刪除
3260,威剛科技,358000,0,-358000,0.3229,0.0,-0.3229,刪除
6805,富世達,109000,0,-109000,0.4731,0.0,-0.4731,刪除
7734,印能科技,56000,0,-56000,0.3876,0.0,-0.3876,刪除
6223,旺矽科技,263000,268000,5000,3.4399,3.2327,-0.2072,增加
3443,創意,160000,164000,4000,2.1107,2.0777,-0.033,增加
3189,景碩科技,840013,844013,4000,1.7143,1.671,-0.0433,增加
5274,信驊科技,0,11000,11000,0.0,0.4294,0.4294,新增
3081,聯亞,0,63000,63000,0.0,0.4217,0.4217,新增
6213,聯茂,0,373000,373000,0.0,0.4166,0.4166,新增
2301,光寶科技,0,659000,659000,0.0,0.4125,0.4125,新增
2357,華碩,0,196000,196000,0.0,0.4082,0.4082,新增
2376,技嘉,0,508000,508000,0.0,0.4046,0.4046,新增
2360,致茂電子,0,76000,76000,0.0,0.4009,0.4009,新增
6274,台燿,0,113000,113000,0.0,0.3996,0.3996,新增
8150,南茂科技,0,1957000,1957000,0.0,0.3991,0.3991,新增
3026,禾伸堂,0,261000,261000,0.0,0.399,0.399,新增
2404,漢唐,0,155000,155000,0.0,0.3955,0.3955,新增
3653,健策,0,33000,33000,0.0,0.389,0.389,新增
6187,萬潤,0,134000,134000,0.0,0.3864,0.3864,新增
2059,川湖科技,260000,260000,0,8.062,8.5518,0.4898,權重增加
3665,貿聯-KY,1161000,1161000,0,5.5898,5.9526,0.3628,權重增加
3008,大立光,420000,420000,0,4.802,5.0855,0.2835,權重增加
6584,南俊國際,2231000,2231000,0,2.9985,3.0741,0.0756,權重增加
2455,全新,2753000,2753000,0,2.5888,2.6308,0.042,權重增加
1303,南亞,5445000,5445000,0,2.4619,2.4926,0.0307,權重增加
1815,富喬工業,10877000,10877000,0,2.367,2.3726,0.0056,權重增加
7751,竑騰,25000,25000,0,0.0834,0.0878,0.0044,權重增加
2383,台光電,465000,465000,0,6.6587,6.6042,-0.0545,權重減少
8996,高力熱處理工業,1630000,1630000,0,4.4661,4.3838,-0.0823,權重減少
2454,聯發科技,406000,406000,0,3.708,3.6103,-0.0977,權重減少
2308,台達電,632000,632000,0,2.6865,2.6327,-0.0538,權重減少
8021,尖點,2682000,2682000,0,2.5886,2.5077,-0.0809,權重減少
3661,世芯-KY,215000,215000,0,1.9684,1.8282,-0.1402,權重減少
6669,緯穎科技服務,77000,77000,0,1.1495,1.1279,-0.0216,權重減少
4958,臻鼎-KY,1000000,1000000,0,1.1343,1.0849,-0.0494,權重減少
8046,南電,300000,300000,0,0.8761,0.8549,-0.0212,權重減少
6515,穎崴科技,42000,42000,0,0.626,0.607,-0.019,權重減少
6139,亞翔,250000,250000,0,0.4549,0.4474,-0.0075,權重減少
5289,宜鼎國際,98000,98000,0,0.3381,0.3274,-0.0107,權重減少
3583,辛耘,147000,147000,0,0.2416,0.2362,-0.0054,權重減少
5347,世界先進,629000,629000,0,0.2297,0.2231,-0.0066,權重減少
3264,欣銓科技,72000,72000,0,0.0355,0.0346,-0.0009,權重減少
2330,台積電,1406000,1306000,-100000,7.6096,7.1145,-0.4951,減少
3017,奇鋐科技,1002000,1001000,-1000,7.1178,6.9537,-0.1641,減少
3037,欣興,2497000,2483000,-14000,6.3067,6.5074,0.2007,減少
2345,智邦科技,1080000,1074000,-6000,5.5773,5.4696,-0.1077,減少
3231,緯創資通,7662000,7245000,-417000,3.2311,3.0015,-0.2296,減少
3711,日月光投資控股,1629000,716000,-913000,2.2592,0.9816,-1.2776,減少
