股票代號,股票名稱,持有股數_昨日,持有股數_今日,股數變化,權重(%)_昨日,權重(%)_今日,權重變化(%),變化
6139,亞翔,3828000,3850000,22000,5.952,5.9567,0.0047,增加
2059,川湖科技,185000,186000,1000,5.4683,5.3528,-0.1155,增加
2383,台光電,320000,322000,2000,3.5642,3.6294,0.0652,增加
2360,致茂電子,844000,849000,5000,3.5837,3.3609,-0.2228,增加
3008,大立光,257000,258000,1000,2.8388,2.973,0.1342,增加
3017,奇鋐科技,379000,381000,2000,2.2195,2.2643,0.0448,增加
6488,環球晶,1117000,1123000,6000,2.3141,2.2171,-0.097,增加
2395,研華,901000,1486000,585000,1.2161,2.0057,0.7896,增加
2301,光寶科技,2289000,3302000,1013000,1.3475,1.969,0.6215,增加
2303,聯電,5285000,5315000,30000,1.3388,1.3384,-0.0004,增加
2455,全新,1572000,1581000,9000,1.2301,1.3361,0.106,增加
5483,中美晶,3533000,3552000,19000,1.3153,1.3095,-0.0058,增加
6274,台燿,434000,437000,3000,1.2953,1.3073,0.012,增加
6214,精誠,3504000,3524000,20000,1.2901,1.2885,-0.0016,增加
2377,微星,4386000,4412000,26000,1.2955,1.2799,-0.0156,增加
2376,技嘉,1800000,1811000,11000,1.259,1.2678,0.0088,增加
3231,緯創資通,3432000,3453000,21000,1.2355,1.2417,0.0062,增加
2428,興勤電子工業,2356000,2371000,15000,1.2106,1.1917,-0.0189,增加
3265,台星科股份有限公司,3472000,3494000,22000,1.1822,1.1825,0.0003,增加
3711,日月光投資控股,959000,965000,6000,1.1645,1.1489,-0.0156,增加
3090,日電貿,3396000,3416000,20000,1.1354,1.1423,0.0069,增加
2478,大毅,4484000,4511000,27000,1.1083,1.095,-0.0133,增加
6472,保瑞,774000,1032000,258000,0.7192,0.9771,0.2579,增加
2486,一詮精密,950000,1607000,657000,0.4852,0.8352,0.35,增加
6213,聯茂,321000,322000,1000,0.3177,0.3438,0.0261,增加
2476,鉅祥,1303000,1311000,8000,0.3087,0.3182,0.0095,增加
3617,碩天,603000,612000,9000,0.3185,0.3051,-0.0134,增加
6196,帆宣,310000,312000,2000,0.3134,0.2998,-0.0136,增加
6672,騰輝電子-KY,546000,549000,3000,0.29,0.2991,0.0091,增加
8070,長華*,2871000,2897000,26000,0.2885,0.2877,-0.0008,增加
5425,台半,1544000,1563000,19000,0.2726,0.2767,0.0041,增加
6669,緯穎科技服務,510000,510000,0,6.5907,6.6167,0.026,權重增加
3105,穩懋,4809000,4809000,0,3.5019,3.6718,0.1699,權重增加
6531,愛普科技,1650000,1650000,0,2.8599,2.9119,0.052,權重增加
4958,臻鼎-KY,3178000,3178000,0,2.839,2.8426,0.0036,權重增加
5274,信驊科技,35900,35900,0,1.113,1.1137,0.0007,權重增加
8996,高力熱處理工業,382000,382000,0,0.8972,0.935,0.0378,權重增加
3443,創意,1000,1000,0,0.011,0.0112,0.0002,權重增加
2330,台積電,1794000,1794000,0,8.7399,8.674,-0.0659,權重減少
2454,聯發科技,872000,872000,0,6.7345,6.5614,-0.1731,權重減少
6223,旺矽科技,307000,307000,0,3.5045,3.4635,-0.041,權重減少
2345,智邦科技,727000,727000,0,3.0869,2.9731,-0.1138,權重減少
3491,昇達科,1000000,1000000,0,2.6461,2.5585,-0.0876,權重減少
3583,辛耘,1158000,1158000,0,1.6342,1.6167,-0.0175,權重減少
2467,志聖,1000000,1000000,0,1.0933,1.0778,-0.0155,權重減少
6239,力成科技,1910000,1910000,0,1.0558,1.0523,-0.0035,權重減少
5536,聖暉*,459000,459000,0,0.8097,0.7887,-0.021,權重減少
3529,力旺電子,93000,93000,0,0.4196,0.4112,-0.0084,權重減少
2885,元大金,2213556,2213556,0,0.2833,0.2782,-0.0051,權重減少
6446,藥華醫藥,42000,42000,0,0.127,0.126,-0.001,權重減少
3264,欣銓科技,3242000,2042000,-1200000,1.3666,0.8762,-0.4904,減少
6177,達麗,194350,194350,0,0.0188,0.0188,0.0,無變化
8046,南電,1000,1000,0,0.0023,0.0023,0.0,無變化
4441,振大環球,4000,4000,0,0.0014,0.0014,0.0,無變化
1519,華城電機,660,660,0,0.0009,0.0009,0.0,無變化
8358,金居,1000,1000,0,0.0008,0.0008,0.0,無變化
3706,神達投資控股,1400,1400,0,0.0002,0.0002,0.0,無變化
2881,富邦金融控股,250,250,0,0.0,0.0,0.0,無變化
2886,兆豐金,1000,1000,0,0.0,0.0,0.0,無變化
