股票代號,股票名稱,權重(%),持有股數
2330,台積電,5.95,279000
3702,大聯大,4.78,5267000
2383,台光電,4.14,89000
2454,聯發科技,3.84,96000
3653,健策,3.84,77000
3706,神達投資控股,3.78,5339400
2059,川湖科技,3.43,32000
7769,鴻勁精密,2.91,50000
2441,超豐,2.86,2890000
2308,台達電,2.72,175000
6669,緯穎科技服務,2.7,134225
3037,欣興,2.25,262000
2408,南亞科技,2.17,479000
3081,聯亞,2.09,84700
2368,金像電,2.08,219000
2382,廣達電腦,2.08,702500
6515,穎崴科技,2.08,33000
2357,華碩,2.01,238000
6223,旺矽科技,1.94,40000
9941,裕融企業,1.89,2727480
2345,智邦科技,1.76,101000
2887,台新新光金,1.74,4752360
3017,奇鋐科技,1.64,56000
3026,禾伸堂,1.61,246000
2885,元大金,1.58,2615040
5534,長虹建設,1.56,2382000
5274,信驊科技,1.45,9000
3008,大立光,1.43,24000
2395,研華,1.42,251000
2360,致茂電子,1.41,70000
2884,玉山金融控股,1.22,3184000
2892,第一金融控股,1.19,3651000
2886,兆豐金,1.17,2700000
2880,華南金控,1.13,2936388
3665,貿聯-KY,1.11,65000
2890,永豐金融,1.02,2734780
6805,富世達,1.01,51000
2451,創見,0.98,393000
4746,台耀化學,0.9,2276000
3293,鈊象電子,0.88,144000
6274,台燿,0.87,75000
2393,億光電子工業,0.78,1439000
5434,崇越,0.74,160000
5904,寶雅國際,0.68,1077000
6138,茂達電子,0.67,284000
2727,王品餐飲,0.64,321000
3227,原相,0.58,361000
4904,遠傳電信,0.58,650000
9958,世紀鋼鐵結構,0.54,685000
3090,日電貿,0.52,363000
6121,新 普,0.48,146000
4551,智伸科,0.45,313000
5439,高技,0.37,160000
2618,長榮航,0.35,956000
