股票代號,股票名稱,持有股數_昨日,持有股數_今日,股數變化,權重(%)_昨日,權重(%)_今日,權重變化(%),變化
5536,聖暉*,3736000,3736000,0,8.7748,9.1063,0.3315,權重增加
6139,亞翔,2941000,2941000,0,4.3364,4.5107,0.1743,權重增加
6223,旺矽科技,307000,307000,0,3.8227,4.13,0.3073,權重增加
4958,臻鼎-KY,3147000,3147000,0,3.4434,3.4636,0.0202,權重增加
2303,聯電,8964000,8964000,0,2.8406,2.9916,0.151,權重增加
3491,昇達科,967000,967000,0,2.4424,2.5927,0.1503,權重增加
2059,川湖科技,183000,183000,0,2.5498,2.5751,0.0253,權重增加
6257,矽格,4657000,4657000,0,2.0573,2.1174,0.0601,權重增加
3264,欣銓科技,4628000,4628000,0,2.0143,2.0348,0.0205,權重增加
3017,奇鋐科技,407000,407000,0,1.8397,1.9306,0.0909,權重增加
2327,國巨*,849000,849000,0,1.6142,1.6714,0.0572,權重增加
2467,志聖,1450000,1450000,0,1.5676,1.5986,0.031,權重增加
2472,立隆電子工業,2356000,2356000,0,1.5941,1.5946,0.0005,權重增加
6274,台燿,439000,439000,0,1.4197,1.4527,0.033,權重增加
2377,微星,5663000,5663000,0,1.4092,1.4175,0.0083,權重增加
2316,楠梓電,3375000,3375000,0,1.3683,1.3953,0.027,權重增加
6531,愛普科技,684000,684000,0,1.3387,1.3722,0.0335,權重增加
8996,高力熱處理工業,376000,376000,0,1.0162,1.0222,0.006,權重增加
2376,技嘉,1060000,1060000,0,0.653,0.6737,0.0207,權重增加
6805,富世達,121000,121000,0,0.398,0.4095,0.0115,權重增加
2351,順德,900000,900000,0,0.3321,0.367,0.0349,權重增加
6177,達麗,194350,194350,0,0.0166,0.0167,0.0001,權重增加
3443,創意,1000,1000,0,0.0088,0.0091,0.0003,權重增加
8046,南電,1000,1000,0,0.0016,0.0017,0.0001,權重增加
2330,台積電,1967000,1967000,0,9.1298,8.8145,-0.3153,權重減少
2454,聯發科技,862000,862000,0,7.2869,6.9255,-0.3614,權重減少
3105,穩懋,4143000,4143000,0,4.0313,3.7131,-0.3182,權重減少
2345,智邦科技,799000,799000,0,3.6266,3.558,-0.0686,權重減少
2383,台光電,328000,328000,0,3.485,3.4193,-0.0657,權重減少
2360,致茂電子,823000,823000,0,3.4747,3.3331,-0.1416,權重減少
6669,緯穎科技服務,294000,294000,0,2.562,2.5384,-0.0236,權重減少
6488,環球晶,1140000,1140000,0,2.1462,2.0626,-0.0836,權重減少
3008,大立光,200000,200000,0,1.864,1.8374,-0.0266,權重減少
3583,辛耘,1113000,1113000,0,1.8298,1.7905,-0.0393,權重減少
1785,光洋科,5491000,5491000,0,1.5302,1.4825,-0.0477,權重減少
8016,矽創,2198000,2198000,0,1.3131,1.2981,-0.015,權重減少
3711,日月光投資控股,1002000,1002000,0,1.2364,1.2268,-0.0096,權重減少
7769,鴻勁精密,92000,92000,0,1.1678,1.1652,-0.0026,權重減少
3702,大聯大,5380000,5380000,0,1.083,1.0743,-0.0087,權重減少
6147,頎邦,2300000,2300000,0,1.1061,1.0737,-0.0324,權重減少
3036,文曄,2290000,2290000,0,0.9412,0.9403,-0.0009,權重減少
2368,金像電,389000,389000,0,0.9172,0.9153,-0.0019,權重減少
6278,台表科,2184000,2184000,0,0.8305,0.8251,-0.0054,權重減少
6239,力成科技,700000,700000,0,0.4488,0.4436,-0.0052,權重減少
5274,信驊科技,9000,9000,0,0.3104,0.3092,-0.0012,權重減少
2451,創見,519000,519000,0,0.2907,0.286,-0.0047,權重減少
2885,元大金,2114420,2114420,0,0.2691,0.262,-0.0071,權重減少
6187,萬潤,91000,91000,0,0.1984,0.1808,-0.0176,權重減少
3376,新日興,359000,359000,0,0.1355,0.1352,-0.0003,權重減少
8358,金居,1000,1000,0,0.0012,0.0011,-0.0001,權重減少
6285,啟碁科技,2014000,1007000,-1007000,0.9535,0.4814,-0.4721,減少
4441,振大環球,4000,4000,0,0.0014,0.0014,0.0,無變化
1519,華城電機,600,600,0,0.0009,0.0009,0.0,無變化
3706,神達投資控股,1400,1400,0,0.0002,0.0002,0.0,無變化
2881,富邦金融控股,250,250,0,0.0,0.0,0.0,無變化
2886,兆豐金,1000,1000,0,0.0,0.0,0.0,無變化
