股票代號,股票名稱,權重(%),持有股數
2383,台光電,10.14,4863000
2330,台積電,9.71,12134000
3037,欣興,7.82,20330000
2454,聯發科技,7.11,5448000
3017,奇鋐科技,6.02,5900000
2345,智邦科技,4.93,6594000
2327,國巨*,4.92,25437000
6669,緯穎科技服務,4.83,2246000
6223,旺矽科技,4.33,2443000
2308,台達電,4.33,7070000
3653,健策,4.15,2395000
8046,南電,4.03,9634000
3711,日月光投資控股,3.93,19529000
2303,聯電,3.51,87718000
3665,貿聯-KY,3.48,4616848
6274,台燿,2.86,5499000
5274,信驊科技,2.78,484900
6805,富世達,1.49,2265000
2368,金像電,1.08,3000000
2449,京元電子,0.9,11295450
8210,勤誠興業,0.86,2497000
6187,萬潤,0.48,1133000
2360,致茂電子,0.48,622000
8996,高力熱處理工業,0.44,1102000
6510,精測,0.44,478000
4979,華星光,0.43,2424000
3264,欣銓科技,0.42,5918000
4958,臻鼎-KY,0.27,1682000
6278,台表科,0.19,3250000
6271,同欣電,0.15,2224000
6191,精成科,0.11,3988000
3376,新日興,0.11,1741000
4966,譜瑞-KY,0.03,140000
2002,中鋼,0.03,5163000
8358,金居,0.0,1000
3661,世芯-KY,0.0,1000
3443,創意,0.0,1000
2439,美律,0.0,1000
1590,亞德客-KY,0.0,1000
3008,大立光,0.0,1000
2382,廣達電腦,0.0,1000
3533,嘉澤端子工業,0.0,1000
2408,南亞科技,0.0,1000
6515,穎崴科技,0.0,1000
6488,環球晶,0.0,1000
2313,華通,0.0,1000
8150,南茂科技,0.0,1000
2317,鴻海精密工業,0.0,1000
5347,世界先進,0.0,1000
2481,強茂,0.0,5000
