股票代號,股票名稱,持有股數_昨日,持有股數_今日,股數變化,權重(%)_昨日,權重(%)_今日,權重變化(%),變化
5536,聖暉*,3729000,3775000,46000,9.0671,9.2692,0.2021,增加
2454,聯發科,861000,869000,8000,6.1887,6.2515,0.0628,增加
6139,亞翔,3067000,3099000,32000,5.2267,5.173,-0.0537,增加
2345,智邦,798000,812000,14000,3.5573,3.6553,0.098,增加
2360,致茂,823000,837000,14000,3.2474,3.3081,0.0607,增加
4958,臻鼎-KY,3147000,3178000,31000,3.497,3.2753,-0.2217,增加
2383,台光電,327000,332000,5000,3.135,3.1428,0.0078,增加
6488,環球晶,1137000,1146000,9000,3.0071,3.1224,0.1153,增加
2059,川湖,183000,185000,2000,3.0796,3.0881,0.0085,增加
6669,緯穎,298000,303000,5000,2.9365,3.0575,0.121,增加
3105,穩懋,4143000,4226000,83000,2.9381,2.8535,-0.0846,增加
3491,昇達科,967000,988000,21000,2.7947,2.5962,-0.1985,增加
2303,聯電,8952000,9065000,113000,2.7495,2.5382,-0.2113,增加
6257,矽格,4647000,4717000,70000,2.126,2.1437,0.0177,增加
3264,欣銓,4628000,4780000,152000,2.1124,2.0333,-0.0791,增加
3008,大立光,241000,243000,2000,2.0612,2.0281,-0.0331,增加
3583,辛耘,1111000,1130000,19000,1.7701,1.7718,0.0017,增加
2377,微星,5652000,5722000,70000,1.7058,1.7439,0.0381,增加
2467,志聖,1446000,1470000,24000,1.7209,1.6527,-0.0682,增加
6531,愛普*,862000,868000,6000,1.5057,1.4582,-0.0475,增加
2472,立隆電,2342000,2383000,41000,1.4386,1.3627,-0.0759,增加
8016,矽創,2193000,2228000,35000,1.3377,1.3148,-0.0229,增加
3711,日月光投控,1000000,1011000,11000,1.3096,1.3,-0.0096,增加
3702,大聯大,5473000,5565000,92000,1.2782,1.2765,-0.0017,增加
7769,鴻勁,91000,93000,2000,1.1781,1.2028,0.0247,增加
2316,楠梓電,3388000,3451000,63000,1.1525,1.1372,-0.0153,增加
6274,台燿,438000,447000,9000,1.093,1.0831,-0.0099,增加
1785,光洋科,4349000,4461000,112000,0.9971,1.004,0.0069,增加
3036,文曄,2283000,2336000,53000,0.9178,0.9408,0.023,增加
5274,信驊,12900,30900,18000,0.3563,0.8595,0.5032,增加
6147,頎邦,2300000,2409000,109000,0.8756,0.8509,-0.0247,增加
8996,高力,376000,382000,6000,0.814,0.7989,-0.0151,增加
2368,金像電,388000,396000,8000,0.7671,0.7906,0.0235,增加
6278,台表科,2179000,2242000,63000,0.7645,0.7605,-0.004,增加
2376,技嘉,1058000,1065000,7000,0.7334,0.7592,0.0258,增加
2351,順德,1706000,1729000,23000,0.6276,0.5809,-0.0467,增加
2885,元大金,2114420,2128420,14000,0.2931,0.2883,-0.0048,增加
2451,創見,519000,530000,11000,0.2546,0.2522,-0.0024,增加
6831,邁科,0,4000,4000,0.0,0.0047,0.0047,新增
2330,台積電,1967000,1967000,0,9.6075,9.8291,0.2216,權重增加
6177,達麗,194350,194350,0,0.0196,0.0198,0.0002,權重增加
4441,振大環球,4000,4000,0,0.0014,0.0015,0.0001,權重增加
6223,旺矽,307000,307000,0,3.6668,3.607,-0.0598,權重減少
3017,奇鋐,407000,407000,0,1.9098,1.8716,-0.0382,權重減少
2327,國巨*,844000,844000,0,1.2583,1.1452,-0.1131,權重減少
6239,力成,700000,700000,0,0.4299,0.4018,-0.0281,權重減少
6187,萬潤,91000,91000,0,0.1892,0.1832,-0.006,權重減少
3443,創意,1000,1000,0,0.0081,0.008,-0.0001,權重減少
8046,南電,1000,1000,0,0.0024,0.0023,-0.0001,權重減少
8358,金居,1000,1000,0,0.0008,0.0007,-0.0001,權重減少
1519,華城,600,600,0,0.0008,0.0008,0.0,無變化
3706,神達,1400,1400,0,0.0002,0.0002,0.0,無變化
2886,兆豐金,1000,1000,0,0.0001,0.0001,0.0,無變化
2881,富邦金,250,250,0,0.0,0.0,0.0,無變化
