股票代號,股票名稱,權重(%),持有股數
2330,台積電,8.6457,1937000
5536,聖暉*,7.8685,3754000
2454,聯發科技,7.1465,862000
6139,亞翔,4.2829,2774000
2360,致茂電子,4.0353,823000
3105,穩懋,3.7798,4143000
2345,智邦科技,3.7767,804000
3491,昇達科,3.5289,967000
6223,旺矽科技,3.4874,307000
6669,緯穎科技服務,3.0855,296000
6147,頎邦,3.0004,5916000
2383,台光電,2.9829,330000
4958,臻鼎-KY,2.9005,3147000
6285,啟碁科技,2.2318,4029000
2303,聯電,2.107,9007000
3017,奇鋐科技,2.0641,407000
6257,矽格,1.9999,4687000
3264,欣銓科技,1.9952,4508000
6488,環球晶,1.8659,1146000
2059,川湖科技,1.8322,183000
3583,辛耘,1.8293,1121000
2472,立隆電子工業,1.8274,2790000
2467,志聖,1.7116,1461000
2377,微星,1.4902,5688000
1785,光洋科,1.4429,5527000
3008,大立光,1.4388,201000
6274,台燿,1.3957,440000
7769,鴻勁精密,1.2853,93000
8016,矽創,1.2558,2211000
3036,文曄,1.2196,2311000
3702,大聯大,1.1817,5420000
2327,國巨*,1.1443,823000
3711,日月光投資控股,1.1186,1008000
6531,愛普科技,1.0938,554000
2316,楠梓電,1.0102,3374000
2368,金像電,0.9903,392000
6278,台表科,0.8732,2201000
8996,高力熱處理工業,0.7881,376000
2376,技嘉,0.7447,1064000
2351,順德,0.533,1350000
6805,富世達,0.4495,121000
2451,創見,0.3467,519000
5274,信驊科技,0.3076,9000
2885,元大金,0.2528,2114420
3376,新日興,0.1447,359000
6177,達麗,0.0162,194350
3443,創意,0.0082,1000
4441,振大環球,0.0016,4000
8046,南電,0.0016,1000
8358,金居,0.001,1000
1519,華城電機,0.001,600
3665,貿聯-KY,0.0005,136
3706,神達投資控股,0.0002,1400
2886,兆豐金,0.0,1000
2881,富邦金融控股,0.0,250
