股票代號,股票名稱,持有股數_昨日,持有股數_今日,股數變化,權重(%)_昨日,權重(%)_今日,權重變化(%),變化
2454,聯發科技,145000,179000,34000,1.6501,2.1859,0.5358,增加
2308,台達電,0,200000,200000,0.0,0.8958,0.8958,新增
3037,欣興,2482000,2482000,0,5.8831,6.5536,0.6705,權重增加
8996,高力熱處理工業,1630000,1630000,0,5.632,6.3599,0.7279,權重增加
2345,智邦科技,1104000,1104000,0,4.9482,4.9842,0.036,權重增加
3443,創意,164000,164000,0,2.8332,3.2381,0.4049,權重增加
8021,尖點,2682000,2682000,0,2.9809,3.016,0.0351,權重增加
8046,南電,968000,968000,0,2.5728,2.6586,0.0858,權重增加
3189,景碩科技,844013,844013,0,1.6967,1.8087,0.112,權重增加
4958,臻鼎-KY,1000000,1000000,0,1.1428,1.1528,0.01,權重增加
5274,信驊科技,11000,11000,0,0.5127,0.5421,0.0294,權重增加
8150,南茂科技,1957000,1957000,0,0.4444,0.4867,0.0423,權重增加
6213,聯茂,373000,373000,0,0.4551,0.4775,0.0224,權重增加
3653,健策,33000,33000,0,0.4405,0.4535,0.013,權重增加
2376,技嘉,508000,508000,0,0.4369,0.4389,0.002,權重增加
2360,致茂電子,76000,76000,0,0.4205,0.4371,0.0166,權重增加
3711,日月光投資控股,250000,250000,0,0.3853,0.4084,0.0231,權重增加
6274,台燿,113000,113000,0,0.374,0.3836,0.0096,權重增加
3017,奇鋐科技,1001000,1001000,0,8.2959,8.0001,-0.2958,權重減少
2330,台積電,1116000,1116000,0,6.6334,6.4724,-0.161,權重減少
3665,貿聯-KY,1161000,1161000,0,6.1995,6.1448,-0.0547,權重減少
2059,川湖科技,205000,205000,0,6.1891,6.1234,-0.0657,權重減少
2383,台光電,465000,465000,0,5.4941,5.3278,-0.1663,權重減少
3008,大立光,293000,293000,0,4.5521,4.4243,-0.1278,權重減少
6223,旺矽科技,268000,268000,0,3.7557,3.3771,-0.3786,權重減少
1815,富喬工業,11420868,11420868,0,3.2976,3.2849,-0.0127,權重減少
3231,緯創資通,7245000,7245000,0,3.2647,3.083,-0.1817,權重減少
1303,南亞,5445000,5445000,0,3.1312,2.9717,-0.1595,權重減少
6584,南俊國際,2231000,2231000,0,3.1049,2.9086,-0.1963,權重減少
2455,全新,1700000,1700000,0,2.2838,2.1923,-0.0915,權重減少
6669,緯穎科技服務,429675,429675,0,2.2217,2.1424,-0.0793,權重減少
6515,穎崴科技,51000,51000,0,0.7929,0.6931,-0.0998,權重減少
3026,禾伸堂,261000,261000,0,0.5026,0.4799,-0.0227,權重減少
2301,光寶科技,659000,659000,0,0.449,0.442,-0.007,權重減少
2357,華碩,196000,196000,0,0.4546,0.4403,-0.0143,權重減少
6139,亞翔,250000,250000,0,0.4427,0.4214,-0.0213,權重減少
3081,聯亞,63000,63000,0,0.4384,0.4195,-0.0189,權重減少
2404,漢唐,155000,155000,0,0.4213,0.4165,-0.0048,權重減少
6187,萬潤,134000,134000,0,0.4047,0.3838,-0.0209,權重減少
5289,宜鼎國際,99952,99952,0,0.3175,0.3051,-0.0124,權重減少
5347,世界先進,629000,629000,0,0.2614,0.2565,-0.0049,權重減少
