股票代號,股票名稱,持有股數_昨日,持有股數_今日,股數變化,權重(%)_昨日,權重(%)_今日,權重變化(%),變化
2454,聯發科技,736000,736000,0,6.8278,7.4799,0.6521,權重增加
2059,川湖科技,180000,180000,0,4.4299,4.4744,0.0445,權重增加
2360,致茂電子,820000,820000,0,3.6985,3.9254,0.2269,權重增加
4958,臻鼎-KY,3158000,3158000,0,2.9421,3.0297,0.0876,權重增加
2345,智邦科技,621000,621000,0,2.2689,2.3331,0.0642,權重增加
6488,環球晶,1089000,1089000,0,2.0248,2.0746,0.0498,權重增加
2395,研華,1454000,1454000,0,1.976,2.0054,0.0294,權重增加
2301,光寶科技,3230000,3230000,0,1.794,1.8029,0.0089,權重增加
2303,聯電,5145000,5145000,0,1.5808,1.615,0.0342,權重增加
5274,信驊科技,35900,35900,0,1.3639,1.4724,0.1085,權重增加
5483,中美晶,3437000,3437000,0,1.2693,1.3149,0.0456,權重增加
2376,技嘉,1749000,1749000,0,1.2263,1.2576,0.0313,權重增加
3265,台星科股份有限公司,3369000,3369000,0,1.1944,1.2525,0.0581,權重增加
8996,高力熱處理工業,382000,382000,0,1.0759,1.2403,0.1644,權重增加
3711,日月光投資控股,906000,906000,0,1.1385,1.2318,0.0933,權重增加
6274,台燿,421000,421000,0,1.136,1.1894,0.0534,權重增加
5425,台半,6403000,6403000,0,1.1678,1.1745,0.0067,權重增加
6239,力成科技,1910000,1910000,0,1.0684,1.0942,0.0258,權重增加
3529,力旺電子,93000,93000,0,0.5211,0.5674,0.0463,權重增加
6213,聯茂,380000,380000,0,0.3779,0.4048,0.0269,權重增加
2885,元大金,2213556,2213556,0,0.3051,0.3066,0.0015,權重增加
3443,創意,1000,1000,0,0.014,0.0164,0.0024,權重增加
2330,台積電,1794000,1794000,0,8.6925,8.6585,-0.034,權重減少
3105,穩懋,5709000,5709000,0,5.6223,5.6115,-0.0108,權重減少
6139,亞翔,3721000,3721000,0,5.3721,5.2198,-0.1523,權重減少
6531,愛普科技,2041000,2041000,0,3.8914,3.74,-0.1514,權重減少
3491,昇達科,1180000,1180000,0,3.6373,3.4263,-0.211,權重減少
3008,大立光,252000,252000,0,3.1915,3.1667,-0.0248,權重減少
2383,台光電,311000,311000,0,2.9954,2.9654,-0.03,權重減少
3017,奇鋐科技,372000,372000,0,2.5131,2.4741,-0.039,權重減少
2455,全新,1537000,1537000,0,1.6832,1.6494,-0.0338,權重減少
3231,緯創資通,3660000,3660000,0,1.3444,1.2961,-0.0483,權重減少
6214,精誠,3460000,3460000,0,1.3255,1.2931,-0.0324,權重減少
2428,興勤電子工業,2285000,2285000,0,1.1701,1.1431,-0.027,權重減少
3583,辛耘,790000,790000,0,1.0923,1.0911,-0.0012,權重減少
3090,日電貿,3302000,3302000,0,1.0731,1.0656,-0.0075,權重減少
2467,志聖,1000000,1000000,0,1.0399,1.0359,-0.004,權重減少
2478,大毅,4360000,4360000,0,1.0348,1.0264,-0.0084,權重減少
2377,微星,3372000,3372000,0,1.0294,1.0155,-0.0139,權重減少
6472,保瑞,1032000,1032000,0,0.9035,0.8503,-0.0532,權重減少
5536,聖暉*,455000,455000,0,0.7958,0.7927,-0.0031,權重減少
2486,一詮精密,1607000,1607000,0,0.7517,0.7361,-0.0156,權重減少
6196,帆宣,304000,304000,0,0.3233,0.319,-0.0043,權重減少
8070,長華*,3212000,3212000,0,0.3207,0.3144,-0.0063,權重減少
6672,騰輝電子-KY,530000,530000,0,0.3152,0.314,-0.0012,權重減少
2476,鉅祥,1281000,1281000,0,0.3128,0.3103,-0.0025,權重減少
3617,碩天,627000,627000,0,0.3038,0.3001,-0.0037,權重減少
6640,均華,143000,143000,0,0.3323,0.2903,-0.042,權重減少
6446,藥華醫藥,42000,42000,0,0.0976,0.0955,-0.0021,權重減少
6177,達麗,194350,194350,0,0.0185,0.0179,-0.0006,權重減少
2886,兆豐金,1000,1000,0,0.0001,0.0,-0.0001,權重減少
6669,緯穎科技服務,1136225,1016225,-120000,4.7892,4.2168,-0.5724,減少
6223,旺矽科技,307000,301000,-6000,3.5071,3.1564,-0.3507,減少
4441,振大環球,4000,4000,0,0.0013,0.0013,0.0,無變化
1519,華城電機,660,660,0,0.0009,0.0009,0.0,無變化
8358,金居,1000,1000,0,0.0009,0.0009,0.0,無變化
2881,富邦金融控股,250,250,0,0.0,0.0,0.0,無變化
