股票代號,股票名稱,持有股數_昨日,持有股數_今日,股數變化,權重(%)_昨日,權重(%)_今日,權重變化(%),變化
3105,穩懋,4809000,5709000,900000,4.2072,4.8639,0.6567,增加
5425,台半,5824000,6484000,660000,1.0888,1.2118,0.123,增加
6669,緯穎科技服務,510000,510000,0,6.8255,7.1263,0.3008,權重增加
3008,大立光,256000,256000,0,3.4764,3.51,0.0336,權重增加
3491,昇達科,1180000,1180000,0,3.3021,3.4579,0.1558,權重增加
2345,智邦科技,727000,727000,0,2.9838,2.9981,0.0143,權重增加
6488,環球晶,1114000,1114000,0,2.0957,2.1014,0.0057,權重增加
2301,光寶科技,3284000,3284000,0,1.9411,2.0235,0.0824,權重增加
2303,聯電,5270000,5270000,0,1.2263,1.3295,0.1032,權重增加
3265,台星科股份有限公司,3464000,3464000,0,1.2006,1.2537,0.0531,權重增加
6274,台燿,433000,433000,0,1.2287,1.252,0.0233,權重增加
2428,興勤電子工業,2350000,2350000,0,1.1675,1.1948,0.0273,權重增加
2467,志聖,1000000,1000000,0,1.1488,1.1838,0.035,權重增加
3711,日月光投資控股,956000,956000,0,1.1358,1.1521,0.0163,權重增加
3090,日電貿,3388000,3388000,0,1.121,1.144,0.023,權重增加
2478,大毅,4475000,4475000,0,1.0985,1.1246,0.0261,權重增加
5274,信驊科技,35900,35900,0,1.079,1.0889,0.0099,權重增加
6239,力成科技,1910000,1910000,0,1.0389,1.0638,0.0249,權重增加
5536,聖暉*,459000,459000,0,0.7697,0.7758,0.0061,權重增加
6672,騰輝電子-KY,544000,544000,0,0.3007,0.3056,0.0049,權重增加
8070,長華*,2862000,2862000,0,0.2849,0.2854,0.0005,權重增加
2885,元大金,2213556,2213556,0,0.2747,0.2749,0.0002,權重增加
8358,金居,1000,1000,0,0.0009,0.001,0.0001,權重增加
2330,台積電,1794000,1794000,0,8.4905,8.4255,-0.065,權重減少
6139,亞翔,3820000,3820000,0,5.8813,5.7454,-0.1359,權重減少
2059,川湖科技,185000,185000,0,5.2097,5.1341,-0.0756,權重減少
2383,台光電,319000,319000,0,3.4454,3.3987,-0.0467,權重減少
2360,致茂電子,842000,842000,0,3.2905,3.2845,-0.006,權重減少
6223,旺矽科技,307000,307000,0,3.0687,2.9968,-0.0719,權重減少
4958,臻鼎-KY,3178000,3178000,0,2.9769,2.9635,-0.0134,權重減少
6531,愛普科技,1650000,1650000,0,2.9713,2.8659,-0.1054,權重減少
3017,奇鋐科技,378000,378000,0,2.4793,2.4648,-0.0145,權重減少
2395,研華,1478000,1478000,0,1.9591,1.9189,-0.0402,權重減少
3583,辛耘,1158000,1158000,0,1.7283,1.6832,-0.0451,權重減少
2455,全新,1569000,1569000,0,1.3341,1.3215,-0.0126,權重減少
5483,中美晶,3524000,3524000,0,1.2595,1.2549,-0.0046,權重減少
2377,微星,4375000,4375000,0,1.2457,1.2311,-0.0146,權重減少
6214,精誠,3494000,3494000,0,1.2522,1.2273,-0.0249,權重減少
2376,技嘉,1796000,1796000,0,1.2168,1.2164,-0.0004,權重減少
3231,緯創資通,3424000,3424000,0,1.2069,1.1828,-0.0241,權重減少
8996,高力熱處理工業,382000,382000,0,0.9827,0.9378,-0.0449,權重減少
6472,保瑞,1032000,1032000,0,0.8907,0.8712,-0.0195,權重減少
2486,一詮精密,1607000,1607000,0,0.8173,0.8139,-0.0034,權重減少
3529,力旺電子,93000,93000,0,0.4839,0.4584,-0.0255,權重減少
2476,鉅祥,1301000,1301000,0,0.3231,0.3168,-0.0063,權重減少
6196,帆宣,309000,309000,0,0.3018,0.2953,-0.0065,權重減少
3617,碩天,599000,599000,0,0.2923,0.283,-0.0093,權重減少
6446,藥華醫藥,42000,42000,0,0.1286,0.1259,-0.0027,權重減少
6177,達麗,194350,194350,0,0.0182,0.0179,-0.0003,權重減少
8046,南電,1000,1000,0,0.0025,0.0024,-0.0001,權重減少
4441,振大環球,4000,4000,0,0.0014,0.0013,-0.0001,權重減少
2454,聯發科技,872000,742000,-130000,6.6185,5.7384,-0.8801,減少
3443,創意,1000,1000,0,0.0116,0.0116,0.0,無變化
1519,華城電機,660,660,0,0.0009,0.0009,0.0,無變化
3706,神達投資控股,1400,1400,0,0.0002,0.0002,0.0,無變化
2881,富邦金融控股,250,250,0,0.0,0.0,0.0,無變化
2886,兆豐金,1000,1000,0,0.0,0.0,0.0,無變化
