股票代號,股票名稱,投資比例(%),持有股數
2330,台積電,7.65,1761000.0
2383,台光電,5.13,537000.0
6669,緯穎,4.46,465000.0
3037,欣興,3.82,2302000.0
8996,高力,3.8,1689000.0
3665,貿聯-KY,3.54,667000.0
2345,智邦,3.44,716000.0
3105,穩懋,3.32,3433000.0
8299,群聯,3.19,711000.0
6442,光聖,3.12,785000.0
