股票代號,股票名稱,投資比例(%),持有股數
2330,台積電,9.31,11157000.0
2383,台光電,8.45,4605000.0
2345,智邦,5.74,6231000.0
2454,聯發科,5.68,4463000.0
2308,台達電,5.1,6218000.0
3665,貿聯-KY,4.79,4703848.0
2368,金像電,4.43,8260000.0
8046,南電,4.41,12658000.0
3017,奇鋐,3.69,4082000.0
3653,健策,3.62,2267000.0
